layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation
20,78322,0.8913086,0.9114654,0.6,0.2059657567346255,0.2059657567346255
20,146302,2.364453,1.845564,0.8,-0.1981503262243099,0.1981503262243099
20,99485,1.0261719,0.90531087,0.6,-0.11247722849901143,0.11247722849901143
20,68236,3.5808594,0.9143072,1.0,0.08997416574555137,0.08997416574555137
20,26284,1.7745117,1.0837975,0.95,0.03071121971354266,0.03071121971354266
20,58760,7.6921873,1.0616851,1.0,0.001703949528630235,0.001703949528630235
