cluster_id,n_features,representative,method,missingness_rate
0,27,L12_F115685,agglomerative,0.9513157894736842
4,11,L23_F40170,agglomerative,0.9513157894736842
7,10,L10_F102028,agglomerative,0.9513157894736842
5,10,L24_F131457,agglomerative,0.9513157894736842
1,10,L25_F43384,agglomerative,0.9513157894736842
6,8,L20_F89162,agglomerative,0.9513157894736842
2,8,L22_F78043,agglomerative,0.9513157894736842
3,6,L11_F107358,agglomerative,0.9513157894736842
8,5,L21_F68550,agglomerative,0.9513157894736842
