feature_id,layer,feature_idx_0,mean_effect_en,mean_effect_fr,n_en,n_fr,sem_effect_en,sem_effect_fr,is_bridge,bridge_score
L25_F43384,25,43384,-0.9361979166666666,-0.7890625,24.0,24.0,0.18420382820026776,0.2361215869328137,True,0.7890625
L25_F19816,25,19816,-0.8743489583333334,-0.681640625,24.0,24.0,0.19395697905674072,0.26662019932901876,True,0.681640625
L25_F90133,25,90133,-0.833984375,-0.6588541666666666,24.0,24.0,0.1973911411021937,0.26060172319711006,True,0.6588541666666666
L12_F146578,12,146578,-0.921875,-0.4583333333333333,24.0,24.0,0.28297453371296943,0.2261593479145945,True,0.4583333333333333
L20_F115627,20,115627,-0.5807291666666666,-0.4342447916666667,24.0,24.0,0.15112656128695273,0.13788076694072662,True,0.4342447916666667
L12_F83869,12,83869,-0.7604166666666666,-0.4270833333333333,24.0,24.0,0.26332837791728014,0.22935958200890477,True,0.4270833333333333
L20_F89162,20,89162,-0.5514322916666666,-0.4127604166666667,24.0,24.0,0.14918492450463833,0.14164009593040247,True,0.4127604166666667
L12_F71563,12,71563,-0.828125,-0.3984375,24.0,24.0,0.2637468232516978,0.25340364482858063,True,0.3984375
L20_F16317,20,16317,-0.5390625,-0.396484375,24.0,24.0,0.14782841283036782,0.1383861269289194,True,0.396484375
L20_F145235,20,145235,-0.58203125,-0.3951822916666667,24.0,24.0,0.14931167197441192,0.14807796121028194,True,0.3951822916666667
L12_F115685,12,115685,-0.84765625,-0.3528645833333333,24.0,24.0,0.27015736063383916,0.28838375786063014,True,0.3528645833333333
L22_F41906,22,41906,-0.29296875,-0.4622395833333333,24.0,24.0,0.18502874477558662,0.15031739102076497,True,0.29296875
L23_F83865,23,83865,-0.7408854166666666,-0.20572916666666666,24.0,24.0,0.27803287310656455,0.25326164808464297,True,0.20572916666666666
L22_F99330,22,99330,-0.19010416666666666,-0.46875,24.0,24.0,0.18403267343205532,0.15274603727158986,True,0.19010416666666666
L22_F156288,22,156288,-0.171875,-0.3203125,24.0,24.0,0.17334067100550202,0.16148663701193333,True,0.171875
L23_F92411,23,92411,-0.74609375,-0.15234375,24.0,24.0,0.2796243812117391,0.24263314028322716,True,0.15234375
L23_F61192,23,61192,-0.7434895833333334,-0.14713541666666666,24.0,24.0,0.28424071103803106,0.2452812650793075,True,0.14713541666666666
L23_F70485,23,70485,-0.7298177083333334,-0.140625,24.0,24.0,0.2782055164534719,0.23646411919116836,True,0.140625
L22_F78043,22,78043,-0.13802083333333334,-0.4427083333333333,24.0,24.0,0.19006693848304507,0.15729571570755416,True,0.13802083333333334
L13_F108154,13,108154,-0.13606770833333334,-0.19010416666666666,24.0,24.0,0.14847169933627913,0.09262834187465557,True,0.13606770833333334
L23_F90775,23,90775,-0.7265625,-0.134765625,24.0,24.0,0.27079141519949035,0.2389717781957358,True,0.134765625
L13_F72758,13,72758,-0.12434895833333333,-0.16796875,24.0,24.0,0.1447979361416028,0.09104670787351939,True,0.12434895833333333
L13_F70603,13,70603,-0.091796875,-0.16666666666666666,24.0,24.0,0.14562588107210372,0.0962393435502377,True,0.091796875
L11_F59878,11,59878,-0.3046875,-0.059895833333333336,24.0,24.0,0.10690882299148145,0.15904338042222704,True,0.059895833333333336
L11_F107358,11,107358,-0.3020833333333333,-0.055989583333333336,24.0,24.0,0.11054413103553244,0.1625319955117413,True,0.055989583333333336
L23_F5853,23,5853,-0.5885416666666666,-0.045572916666666664,24.0,24.0,0.2823402947580847,0.23590217401781832,True,0.045572916666666664
L11_F33438,11,33438,-0.3098958333333333,-0.044270833333333336,24.0,24.0,0.11421605126688102,0.1768659084547402,True,0.044270833333333336
L23_F40170,23,40170,-0.6321614583333334,-0.03125,24.0,24.0,0.2913439685288529,0.2670464948084748,True,0.03125
L11_F77813,11,77813,-0.2877604166666667,-0.022135416666666668,24.0,24.0,0.11329946859162504,0.16282018830018716,True,0.022135416666666668
L11_F148703,11,148703,-0.2109375,-0.006510416666666667,24.0,24.0,0.10539219074494142,0.1198110486643768,True,0.006510416666666667
