layer,n_en_features,n_fr_features,n_intersection,n_union,iou
10,170,184,104,250,0.416
11,168,169,90,247,0.3644
12,135,141,87,189,0.4603
13,178,185,104,259,0.4015
14,175,179,103,251,0.4104
15,190,177,98,269,0.3643
16,118,109,75,152,0.4934
17,211,194,115,290,0.3966
18,188,180,110,258,0.4264
19,183,177,117,243,0.4815
20,220,197,129,288,0.4479
21,221,182,120,283,0.424
22,184,165,108,241,0.4481
23,166,168,104,230,0.4522
24,138,136,81,193,0.4197
25,130,127,68,189,0.3598
