layer,n_en_features,n_fr_features,n_intersection,n_union,iou
10,648,864,310,1202,0.2579
11,625,747,287,1085,0.2645
12,587,737,296,1028,0.2879
13,626,748,323,1051,0.3073
14,609,649,308,950,0.3242
15,665,688,335,1018,0.3291
16,358,323,177,504,0.3512
17,661,656,335,982,0.3411
18,596,586,294,888,0.3311
19,574,547,281,840,0.3345
20,732,718,374,1076,0.3476
21,693,735,338,1090,0.3101
22,654,722,331,1045,0.3167
23,680,722,309,1093,0.2827
24,653,679,273,1059,0.2578
25,725,807,300,1232,0.2435
