feature_id,mean_effect_size,disrupts
L23_F40170,-0.7721354166666666,True
L25_F111603,-0.7239583333333334,True
L23_F90775,-0.6966145833333334,True
L20_F11606,-0.69140625,True
L20_F89162,-0.6861979166666666,True
L23_F5853,-0.68359375,True
L23_F8645,-0.6809895833333334,True
L25_F159196,-0.67578125,True
L23_F70485,-0.6705729166666666,True
L25_F138698,-0.65625,True
L20_F71357,-0.6549479166666666,True
L20_F16317,-0.6536458333333334,True
L25_F42984,-0.6458333333333334,True
L23_F43538,-0.6458333333333334,True
L20_F145235,-0.6419270833333334,True
L20_F158746,-0.6419270833333334,True
L25_F90133,-0.6393229166666666,True
L23_F73705,-0.63671875,True
L20_F101236,-0.6354166666666666,True
L25_F19816,-0.6354166666666666,True
L25_F103245,-0.6354166666666666,True
L25_F43384,-0.6328125,True
L20_F115627,-0.625,True
L23_F92411,-0.6145833333333334,True
L23_F61192,-0.6106770833333334,True
L23_F83865,-0.609375,True
L25_F104408,-0.59375,True
L23_F111979,-0.5690104166666666,True
L23_F73145,-0.5611979166666666,True
L25_F142914,-0.5325520833333334,True
L23_F64429,-0.5325520833333334,True
L12_F115685,-0.5286458333333334,True
L12_F71563,-0.4661458333333333,True
L12_F22710,-0.4505208333333333,True
L12_F160325,-0.41796875,True
L12_F83869,-0.4166666666666667,True
L12_F146578,-0.4140625,True
L12_F39488,-0.41015625,True
L22_F128994,-0.3567708333333333,True
L22_F78043,-0.3489583333333333,True
L22_F156288,-0.33203125,True
L22_F160273,-0.3203125,True
L22_F87274,-0.3177083333333333,True
L22_F99330,-0.28125,True
L22_F108295,-0.2708333333333333,True
L22_F41906,-0.2643229166666667,True
L22_F25093,-0.203125,True
L11_F77813,-0.15625,True
L11_F148703,-0.14192708333333334,True
L11_F107358,-0.13932291666666666,True
L11_F59878,-0.13411458333333334,True
L11_F33438,-0.12239583333333333,True
L18_F152973,-0.11328125,True
L18_F109099,-0.10677083333333333,True
L18_F127237,-0.07161458333333333,True
L14_F41052,-0.06640625,True
L21_F129759,-0.01171875,True
L21_F145615,0.0026041666666666665,False
L13_F13612,0.028645833333333332,False
L13_F72758,0.040364583333333336,False
L13_F56218,0.045572916666666664,False
L13_F108154,0.049479166666666664,False
L21_F90229,0.052083333333333336,False
L13_F5837,0.053385416666666664,False
L13_F70603,0.055989583333333336,False
L21_F120080,0.06770833333333333,False
L15_F27553,0.06901041666666667,False
L21_F23114,0.06901041666666667,False
L15_F39942,0.07421875,False
L16_F45664,0.07682291666666667,False
L21_F68550,0.08072916666666667,False
L15_F99399,0.0859375,False
L15_F125632,0.10677083333333333,False
L19_F90730,0.11979166666666667,False
L19_F135640,0.14192708333333334,False
L24_F48363,0.14713541666666666,False
L19_F125912,0.15234375,False
L19_F6873,0.17447916666666666,False
L24_F36045,0.19791666666666666,False
L24_F29680,0.20182291666666666,False
L24_F76837,0.22265625,False
L24_F81698,0.22526041666666666,False
L24_F119196,0.23307291666666666,False
L24_F58564,0.25,False
L24_F60321,0.2708333333333333,False
L24_F27394,0.2864583333333333,False
L24_F20391,0.3268229166666667,False
L17_F151157,0.3294270833333333,False
L17_F110833,0.3450520833333333,False
L24_F136810,0.3450520833333333,False
L24_F76363,0.3776041666666667,False
L24_F131457,0.3958333333333333,False
L24_F17191,0.4375,False
L10_F59805,0.7838541666666666,False
L10_F68612,0.86328125,False
L10_F40520,0.8776041666666666,False
L10_F101190,0.8828125,False
L10_F143891,0.8828125,False
L10_F148569,0.890625,False
L10_F79308,0.8932291666666666,False
L10_F104215,0.8997395833333334,False
L10_F102028,0.9088541666666666,False
L10_F131503,0.9127604166666666,False
L10_F135728,0.9153645833333334,False
