layer,iou,iou_std,n_concepts
10,0.3208,0.0177,8
11,0.3149,0.0201,8
12,0.3396,0.0215,8
13,0.3351,0.0153,8
14,0.3306,0.0167,8
15,0.3174,0.0177,8
16,0.3935,0.0201,8
17,0.3379,0.0289,8
18,0.3493,0.027,8
19,0.3368,0.0266,8
20,0.3431,0.0216,8
21,0.3179,0.0257,8
22,0.3346,0.021,8
23,0.3164,0.0249,8
24,0.2957,0.0299,8
25,0.2683,0.0227,8
