cluster_id,n_features,representative,method,missingness_rate
0,32,L22_F41906,agglomerative,0.9434523809523809
1,9,L24_F30233,agglomerative,0.9434523809523809
2,8,L23_F83865,agglomerative,0.9434523809523809
3,7,L25_F125339,agglomerative,0.9434523809523809
4,6,L14_F34023,agglomerative,0.9434523809523809
5,6,L20_F145235,agglomerative,0.9434523809523809
6,6,L21_F105016,agglomerative,0.9434523809523809
8,5,L10_F25281,agglomerative,0.9434523809523809
7,5,L15_F24958,agglomerative,0.9434523809523809
