community_id,n_nodes,top_nodes_by_degree,method
1,19,"['output_correct', 'L13_F74463', 'L11_F148703', 'L12_F82890', 'L12_F137865']",louvain
2,12,"['input', 'L20_F92769', 'L20_F101109', 'L20_F73876', 'L21_F122057']",louvain
0,12,"['output_incorrect', 'L24_F30233', 'L24_F153576', 'L24_F27452', 'L23_F78397']",louvain
3,8,"['L17_F39571', 'L17_F111317', 'L16_F126692', 'L16_F45664', 'L18_F149556']",louvain
