layer,candidate_rank_accuracy,mean_correct_score,mean_best_competitor_score,mean_margin,std_margin,mean_entropy,pct_rank1,pct_rank2,pct_rank3_or_4
10,1.0,0.0,0.0,0.0,0.0,1.3862943649291992,1.0,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0,1.3862943649291992,1.0,0.0,0.0
12,1.0,0.0,0.0,0.0,0.0,1.3862943649291992,1.0,0.0,0.0
13,1.0,0.0,0.0,0.0,0.0,1.3862943649291992,1.0,0.0,0.0
14,0.4742729306487696,0.48875096440315247,0.4406810700893402,0.048069898039102554,1.183752417564392,1.2240790128707886,0.4742729306487696,0.5257270693512305,0.0
15,0.3131991051454139,0.7908321022987366,1.6310362815856934,-0.8402042388916016,2.547126531600952,0.7726701498031616,0.3131991051454139,0.6868008948545862,0.0
16,1.0,0.0,0.0,0.0,0.0,1.3862943649291992,1.0,0.0,0.0
17,1.0,0.0,0.0,0.0,0.0,1.3862943649291992,1.0,0.0,0.0
18,0.31096196868008946,0.7564099431037903,1.57908296585083,-0.8226730823516846,2.386929750442505,0.7895027995109558,0.31096196868008946,0.6890380313199105,0.0
19,1.0,0.0,0.0,0.0,0.0,1.3862943649291992,1.0,0.0,0.0
20,1.0,0.0,0.0,0.0,0.0,1.3862943649291992,1.0,0.0,0.0
21,1.0,0.0,0.0,0.0,0.0,1.3862943649291992,1.0,0.0,0.0
22,0.3422818791946309,1.6727925539016724,2.8218069076538086,-1.1490142345428467,4.585071086883545,0.2723354995250702,0.3422818791946309,0.6577181208053692,0.0
23,0.39373601789709173,1.7932549715042114,2.75075364112854,-0.9574987888336182,3.526721239089966,0.5323135852813721,0.39373601789709173,0.37360178970917224,0.232662192393736
24,0.3243847874720358,3.102943181991577,5.127992153167725,-2.0250487327575684,8.909936904907227,0.16404443979263306,0.3243847874720358,0.6756152125279642,0.0
25,0.4608501118568233,2.3856558799743652,2.825798749923706,-0.44014281034469604,3.466055154800415,0.5659662485122681,0.4608501118568233,0.19239373601789708,0.34675615212527966
