cluster,prompt_idx,correct_answer,filter_property,wording_family,nd_baseline,nd_ablated,delta_nd,abs_delta_nd,sign_flip
0,428,electron,negative_charge_atomic,F3_process_implicit,7.757148742675781,2.333873748779297,-5.423274993896484,5.423274993896484,False
0,402,photon,massless_em_mediator,F2_contextual_implicit,3.736097812652588,-1.4515304565429688,-5.187628269195557,5.187628269195557,True
0,286,photon,massless_em_mediator,F2_contextual_implicit,6.036512851715088,0.7965669631958008,-5.239945888519287,5.239945888519287,False
0,187,neutron,neutral_charge_atomic,F1_direct_implicit,6.587135314941406,0.170013427734375,-6.417121887207031,6.417121887207031,False
0,170,neutron,neutral_charge_atomic,F2_contextual_implicit,9.182068824768066,-1.127528190612793,-10.30959701538086,10.30959701538086,True
0,309,electron,negative_charge_atomic,F3_process_implicit,10.942475318908691,4.08754825592041,-6.854927062988281,6.854927062988281,False
0,62,photon,em_quantum,F2_contextual_implicit,2.869659423828125,-2.9782485961914062,-5.847908020019531,5.847908020019531,True
0,134,neutron,neutral_charge_atomic,F2_contextual_implicit,9.455825805664062,4.428759574890137,-5.027066230773926,5.027066230773926,False
0,64,proton,positive_charge_atomic,F3_process_implicit,3.37088942527771,0.3384828567504883,-3.0324065685272217,3.0324065685272217,False
0,259,electron,negative_charge_atomic,F4_contrast_implicit,6.56578254699707,1.4927353858947754,-5.073047161102295,5.073047161102295,False
0,67,photon,em_quantum,F4_contrast_implicit,6.686615943908691,1.6094551086425781,-5.077160835266113,5.077160835266113,False
0,200,proton,positive_charge_atomic,F2_contextual_implicit,1.974212646484375,0.5487079620361328,-1.4255046844482422,1.4255046844482422,False
0,152,proton,positive_charge_atomic,F2_contextual_implicit,6.780911445617676,2.660414695739746,-4.12049674987793,4.12049674987793,False
0,308,electron,negative_charge_atomic,F4_contrast_implicit,5.525392532348633,1.819697380065918,-3.705695152282715,3.705695152282715,False
0,153,neutron,neutral_charge_atomic,F1_direct_implicit,6.354726314544678,0.6006660461425781,-5.7540602684021,5.7540602684021,False
0,247,photon,massless_em_mediator,F1_direct_implicit,5.987273216247559,-2.556324005126953,-8.543597221374512,8.543597221374512,True
0,363,neutron,neutral_charge_atomic,F2_contextual_implicit,12.417594909667969,6.390637397766113,-6.0269575119018555,6.0269575119018555,False
0,71,proton,positive_charge_atomic,F2_contextual_implicit,6.680458068847656,2.5599899291992188,-4.1204681396484375,4.1204681396484375,False
0,339,neutron,neutral_charge_atomic,F1_direct_implicit,8.576652526855469,0.8707952499389648,-7.705857276916504,7.705857276916504,False
0,397,electron,negative_charge_atomic,F3_process_implicit,7.638592720031738,3.3729047775268555,-4.265687942504883,4.265687942504883,False
0,86,neutron,nuclear_stability_provider,F4_contrast_implicit,10.538253784179688,2.4611926078796387,-8.077061176300049,8.077061176300049,False
0,376,electron,negative_charge_atomic,F2_contextual_implicit,4.905244827270508,1.1535091400146484,-3.7517356872558594,3.7517356872558594,False
0,352,neutron,nuclear_stability_provider,F3_process_implicit,6.511344909667969,1.838994026184082,-4.672350883483887,4.672350883483887,False
0,46,neutron,neutral_charge_atomic,F1_direct_implicit,10.675970077514648,8.086507797241211,-2.5894622802734375,2.5894622802734375,False
0,69,photon,em_quantum,F3_process_implicit,3.0596303939819336,-0.760035514831543,-3.8196659088134766,3.8196659088134766,True
0,307,photon,massless_em_mediator,F3_process_implicit,5.322044849395752,2.3064918518066406,-3.0155529975891113,3.0155529975891113,False
0,332,photon,em_quantum,F3_process_implicit,4.137260437011719,1.5395326614379883,-2.5977277755737305,2.5977277755737305,False
0,79,photon,massless_em_mediator,F4_contrast_implicit,8.820823669433594,2.240199089050293,-6.580624580383301,6.580624580383301,False
0,302,neutron,neutral_charge_atomic,F3_process_implicit,10.096578598022461,1.10695219039917,-8.989626407623291,8.989626407623291,False
0,446,photon,em_quantum,F2_contextual_implicit,1.0662431716918945,-1.6698455810546875,-2.736088752746582,2.736088752746582,True
