experiment_type,prompt_idx,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_features
ablation_zero,0,0.5335811446694767,0.46875,0.4638839889548288,-0.4134831054537904,-0.40625,0.10415754786327282,5.121797112857594,4.7083140074038035,0.0,51
ablation_zero,1,0.995264072044223,1.09375,0.6987763154461741,-0.8457542681226543,-1.03125,0.14966396452178704,6.652891140358121,5.807136872235467,0.0,51
ablation_zero,2,0.3251486292072371,0.2686634063720703,0.27135779171861824,0.03342640633676566,0.03125,0.06984011715489628,4.6555427476471545,4.68896915398392,0.0,51
ablation_zero,3,0.25273385702394974,0.1875,0.18801445642981013,-0.16449856290630266,-0.15625,0.05119134351139377,4.937156041463216,4.772657478556914,0.0,51
ablation_zero,4,0.4563618080288756,0.375,0.42602493060493984,-0.28111670998965993,-0.15625,0.08804120729997926,5.185684353697534,4.904567643707874,0.0,51
ablation_zero,5,0.37999437369552314,0.21875,0.33675231472217704,0.016127623763738896,0.09375,0.0703063247947175,5.405219713846843,5.421347337610581,0.0,51
ablation_zero,6,0.6481662825042126,0.59375,0.35008910123696807,-0.1496278351428462,-0.3125,0.2486814453213075,2.68200590096268,2.5323780658198336,0.0,51
ablation_zero,7,0.45489946767395617,0.4375,0.35623517348311,-0.02660934364094454,-0.125,0.7332423462891587,0.679011625402114,0.6524022817611694,0.1568627450980392,51
ablation_zero,8,0.39125244290220973,0.3125,0.3970776706660755,-0.12596351025151273,0.0,0.1252790118781692,3.103072297339346,2.977108787087833,0.0,51
ablation_zero,9,0.5012190014708275,0.34375,0.41042602528186284,0.4191111583335727,0.34375,0.2307560796864808,2.256172554165709,2.675283712499282,0.0,51
ablation_zero,10,0.6969809625663009,0.59375,0.5735027511149059,-0.5422432656381645,-0.375,0.20345087972392623,3.4572912103989544,2.91504794476079,0.0,51
ablation_zero,11,0.560418124292411,0.375,0.3818358773263996,-0.3508593007629993,-0.3125,0.24021920817287806,2.3478061451631436,1.9969468444001441,0.0,51
ablation_zero,12,0.9969082159154555,0.78125,0.5931519435810659,-0.6513199806213379,-0.59375,0.18655799718081936,5.343708786309934,4.692388805688596,0.0,51
ablation_zero,13,1.4288538858002306,1.09375,1.303488536639429,-1.341844081878662,-1.09375,0.22430545880201752,6.37248914382037,5.030645061941708,0.0,51
ablation_zero,14,0.76576156242221,0.5625,0.6435096233729437,0.5684576408535826,0.5,0.11133865497977646,6.878067764581418,7.446525405435001,0.0,51
ablation_zero,15,0.9925135257197362,0.8125,0.6933515196939973,-0.5709448982687557,-0.5625,0.15561139798996523,6.3781548294366575,5.807209931167901,0.0,51
ablation_zero,16,0.4866977766448376,0.34375,0.451690641807977,-0.018204184139476103,0.0,0.06109379463369054,7.965352338903091,7.947148154763615,0.0,51
ablation_zero,17,0.8480043598249847,0.53125,0.8946058374108001,-0.7364847519818474,-0.5,0.17102766486739399,4.963922257516899,4.227437505535051,0.0,51
ablation_zero,18,1.1670719081280279,0.9375,0.9727460910491293,-0.7307973983241063,-0.875,1.1603559065836448,1.1602403603348077,0.4294429620107015,0.37254901960784315,51
ablation_zero,19,0.7654273089240579,0.5,0.8642295942166672,-0.495819465786803,-0.1875,1.3637261147063766,-0.6143044490440219,-1.1101239148308248,0.0784313725490196,51
ablation_zero,20,0.9919227151309743,0.75,0.860773739663381,0.10550375545726103,0.4375,0.44276422507780433,2.223794750138825,2.329298505596086,0.0784313725490196,51
ablation_zero,21,0.8197461997761446,0.5,0.8296198999399054,-0.42083272279477585,-0.25,3.980996333157492,0.3977088928222656,-0.023123829972510244,0.49019607843137253,51
ablation_zero,22,1.1302517909629672,1.21875,0.7466694193152108,0.5604268242331112,1.03125,0.6655456631002,1.7707000433229934,2.3311268675561045,0.0,51
ablation_zero,23,1.4272030849082797,1.125,1.091109573339305,-1.103673673143574,-1.125,3.604858996431873,0.29557568419213387,-0.8080979889514399,0.6666666666666666,51
ablation_zero,24,0.9346166779013241,0.4375,1.1414130472078565,-0.8517663338605095,-0.375,0.128904586436595,7.25134210025563,6.39957576639512,0.0,51
ablation_zero,25,1.8680335026161343,1.28125,1.8892891436234225,-1.5101903653612323,-1.25,0.20470105722775586,9.125547633451575,7.615357268090341,0.0,51
ablation_zero,26,0.3133824105356254,0.28125,0.24797790745792433,-0.10901707293940525,-0.125,0.06774250511557492,4.629502464743221,4.520485391803816,0.0,51
ablation_zero,27,0.5714134141510608,0.375,0.5943520346003486,-0.4415114533667471,-0.375,0.061755060781151457,9.253504547418332,8.811993094051585,0.0,51
ablation_zero,28,0.8000928934882668,0.8125,0.5975573873953289,-0.7241125013314041,-0.65625,0.09918351828073411,8.065210454604205,7.341097953272801,0.0,51
ablation_zero,29,0.5452113245047775,0.59375,0.3374044521390686,-0.32894332736146215,-0.40625,0.07488605742980685,7.279792093763165,6.950848766401703,0.0,51
