community_id,n_nodes,top_nodes_by_degree,method
6,11,"['output_correct', 'output_incorrect', 'input', 'L22_F84205', 'L21_F53078']",louvain
3,10,"['L24_F52031', 'L24_F124208', 'L24_F19748', 'L23_F83556', 'L23_F109767']",louvain
5,8,"['L18_F152260', 'L17_F122323', 'L18_F108180', 'L17_F6720', 'L16_F46637']",louvain
0,6,"['L14_F24749', 'L15_F64857', 'L15_F89707', 'L16_F82587', 'L15_F15507']",louvain
2,6,"['L11_F35425', 'L11_F114815', 'L10_F97799', 'L12_F2451', 'L10_F35580']",louvain
1,3,"['L21_F56012', 'L22_F93236', 'L20_F74959']",louvain
4,2,"['L19_F67847', 'L20_F41392']",louvain
