cluster_id,n_features,representative,method,missingness_rate
0,17,L17_F6720,agglomerative,0.9375
4,3,L20_F74959,agglomerative,0.9375
3,3,L22_F110496,agglomerative,0.9375
2,3,L23_F91721,agglomerative,0.9375
1,3,L25_F71226,agglomerative,0.9375
