cluster_id,n_features,representative,method,missingness_rate
0,22,L15_F24829,agglomerative,0.9375
4,3,L14_F77869,agglomerative,0.9375
3,3,L18_F148614,agglomerative,0.9375
2,3,L22_F16944,agglomerative,0.9375
1,3,L25_F36763,agglomerative,0.9375
