experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
patching,13,16,16.0,0.9013671875,0.765625,0.8266342468467514,-0.2646484375,-0.078125,0.1727170655373086,5.21875,4.9541015625,0.0,0,False,True,graph,True
patching,14,16,16.0,0.779296875,0.640625,0.542523610997331,-0.498046875,-0.5625,0.09935258951476955,7.84375,7.345703125,0.0,0,False,True,graph,True
patching,15,16,16.0,1.810546875,1.625,1.223599792343443,-0.408203125,-0.34375,1.1587499925840001,1.5625,1.154296875,0.3125,5,False,True,graph,True
patching,16,16,16.0,0.630859375,0.59375,0.4659246449154448,-0.197265625,-0.28125,0.17708333283625727,3.5625,3.365234375,0.0,0,False,True,graph,True
patching,17,16,16.0,0.798828125,0.6875,0.7897428997187945,-0.193359375,0.03125,0.19076492491757627,4.1875,3.994140625,0.0,0,False,True,graph,True
patching,18,16,16.0,0.755859375,0.6875,0.38901229595765996,-0.267578125,-0.4375,0.2468112236838817,3.0625,2.794921875,0.0,0,False,True,graph,True
patching,19,16,16.0,0.837890625,0.671875,0.6816243954013457,-0.505859375,-0.34375,0.16969936674491265,4.9375,4.431640625,0.0,0,False,True,graph,True
steering,0,16,16.0,0.818359375,0.640625,0.6418782203343429,-0.654296875,-0.640625,0.10072115372218929,8.125,7.470703125,0.0,0,False,True,graph,True
steering,1,16,16.0,1.8671875,1.3125,1.7292858894642031,-1.4453125,-1.21875,0.1991666664542222,9.375,7.9296875,0.0,0,False,True,graph,True
steering,2,16,16.0,0.93359375,1.0,0.8147305120662087,-0.26171875,-0.15625,0.11669921860412592,8.0,7.73828125,0.0,0,False,True,graph,True
steering,3,16,16.0,2.091796875,1.34375,1.7523595978440756,-1.662109375,-1.34375,0.32812499948529406,6.375,4.712890625,0.0,0,False,True,graph,True
steering,4,16,16.0,2.41015625,2.28125,1.8268781360447481,-1.44921875,-1.71875,1.2050781189746096,2.0,0.55078125,0.5,8,False,True,graph,True
steering,5,16,16.0,0.603515625,0.625,0.3882584563229113,-0.376953125,-0.484375,0.10058593733235673,6.0,5.623046875,0.0,0,False,True,graph,True
steering,6,16,16.0,1.53515625,1.1875,1.0536318018920714,-1.25,-0.890625,0.2306338024704093,6.65625,5.40625,0.0,0,False,True,graph,True
steering,7,16,16.0,0.78515625,0.515625,0.7037728496882594,-0.59765625,-0.390625,0.10971615705192499,7.15625,6.55859375,0.0,0,False,True,graph,True
steering,8,16,16.0,0.767578125,0.5625,0.5994755466151921,-0.130859375,0.09375,0.1357044196495833,5.65625,5.525390625,0.0,0,False,True,graph,True
