experiment_type,layer,feature_id,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n
ablation_zero,10,40520,0.6341145833333334,0.453125,0.5963140045274922,0.4694010416666667,0.375,65104.54023114291,3.0618489583333335,3.53125,0.020833333333333332,96
ablation_zero,10,59805,0.701171875,0.546875,0.621897108506768,0.5319010416666666,0.46875,65104.567252796354,3.0618489583333335,3.59375,0.020833333333333332,96
ablation_zero,10,68612,0.6435546875,0.453125,0.610583368809919,0.4690755208333333,0.375,65104.53607546827,3.0618489583333335,3.5309244791666665,0.020833333333333332,96
ablation_zero,10,104215,0.634765625,0.5,0.5957861986401931,0.4641927083333333,0.390625,65104.541023303165,3.0618489583333335,3.5260416666666665,0.020833333333333332,96
ablation_zero,10,126447,0.6162109375,0.5,0.5982035731299401,0.4580078125,0.375,65104.53352757154,3.0618489583333335,3.5198567708333335,0.020833333333333332,96
ablation_zero,10,148569,0.6276041666666666,0.46875,0.5948253189699638,0.451171875,0.375,65104.53941450391,3.0618489583333335,3.5130208333333335,0.020833333333333332,96
ablation_zero,11,33438,0.4973958333333333,0.390625,0.4320303453442196,-0.21875,-0.25,390625.30701382825,3.0618489583333335,2.8430989583333335,0.03125,96
ablation_zero,11,59878,0.4793294270833333,0.375,0.39942711076705967,-0.22672526041666666,-0.25,455729.456836893,3.0618489583333335,2.8351236979166665,0.03125,96
ablation_zero,11,77813,0.48876953125,0.375,0.40476514524512147,-0.21207682291666666,-0.25,455729.46100535756,3.0618489583333335,2.8497721354166665,0.03125,96
ablation_zero,12,40178,0.8356119791666666,0.609375,0.9216337752155933,-0.5797526041666666,-0.421875,195312.92270759345,3.0618489583333335,2.4820963541666665,0.07291666666666667,96
ablation_zero,12,71563,0.8326822916666666,0.625,0.8997324525417535,-0.5774739583333334,-0.421875,195312.92545642654,3.0618489583333335,2.484375,0.07291666666666667,96
ablation_zero,12,83869,0.8043619791666666,0.5625,0.8437347073622257,-0.5647786458333334,-0.390625,130208.72654812386,3.0618489583333335,2.4970703125,0.0625,96
ablation_zero,12,146578,0.8538411458333334,0.6875,0.9314993792690757,-0.6370442708333334,-0.4375,195312.92724213566,3.0618489583333335,2.4248046875,0.08333333333333333,96
ablation_zero,13,70603,0.560546875,0.4375,0.5050487799688524,-0.07356770833333333,0.0,585937.7325042345,3.0618489583333335,2.98828125,0.010416666666666666,96
ablation_zero,13,72758,0.5426432291666666,0.421875,0.49812807054431246,-0.1123046875,-0.0625,585937.7277528641,3.0618489583333335,2.9495442708333335,0.020833333333333332,96
ablation_zero,14,41052,0.6575520833333334,0.5,0.5944839069981832,-0.10091145833333333,-0.1875,325521.200819271,3.0618489583333335,2.9609375,0.03125,96
ablation_zero,14,57525,0.5953776041666666,0.4375,0.5541850678851165,-0.0888671875,-0.171875,260416.99965811,3.0618489583333335,2.9729817708333335,0.03125,96
ablation_zero,15,127839,0.3961588541666667,0.3125,0.33234658336352746,-0.0458984375,-0.09375,325521.0433573243,3.0618489583333335,3.0159505208333335,0.020833333333333332,96
ablation_zero,16,45664,0.4624206628650427,0.35027074813842773,0.42743944357410724,-0.09724227401117484,-0.0625,97656.54318943403,3.344972396890322,3.2477301228791475,0.020833333333333332,192
