experiment_type,prompt_idx,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_features
ablation_zero,0,0.530704657236735,0.46875,0.4570114283239756,-0.3739944210758916,-0.359375,0.103678409301304,5.117437627580431,4.743443206504539,0.0,54
ablation_zero,1,0.9735167644642018,1.0625,0.683398240111986,-0.7721438937717013,-0.515625,0.14645463959984698,6.648319359178896,5.8761754654071945,0.0,54
ablation_zero,2,0.312487487439756,0.25,0.2701671238610364,0.030694281613385235,0.03125,0.0671249274732147,4.654580098611337,4.6852743802247225,0.0,54
ablation_zero,3,0.24697881274753147,0.1875,0.18501860919304444,-0.16108007784242984,-0.15625,0.05002848792076713,4.9366878756770385,4.775607797834608,0.0,54
ablation_zero,4,0.4323241887269197,0.375,0.3935340251556941,-0.23055160487139667,-0.125,0.08340596434849863,5.183213057341399,4.952661452470003,0.0,54
ablation_zero,5,0.3785758548312717,0.23799681663513178,0.32715719029021423,0.028197641725893372,0.109375,0.07006070805701788,5.4038173799161555,5.432015021642049,0.0,54
ablation_zero,6,0.615299525084319,0.59375,0.36473456905051255,-0.15398546501442237,-0.3125,0.2354259763582285,2.8446667106063277,2.6906812455919056,0.0,54
ablation_zero,7,0.426506276483889,0.4375,0.30638263224702966,-0.05150627648388898,-0.125,0.691623412186162,0.8375968933105469,0.7860906168266579,0.14814814814814814,54
ablation_zero,8,0.43228383858998615,0.3125,0.43898852606470395,-0.1824011758521751,0.0,0.1336391079454239,3.1582957020512334,2.9758945261990584,0.0,54
ablation_zero,9,0.49707523981730145,0.33820295333862305,0.40848369793083006,0.3796936141120063,0.3125,0.2222694183460868,2.4347129751134804,2.8144065892254866,0.0,54
ablation_zero,10,0.7027300022266529,0.59375,0.5623946766754474,-0.5277175550107602,-0.375,0.2015941204459821,3.5267639689975314,2.9990464139867714,0.0,54
ablation_zero,11,0.5627101041652538,0.375,0.40948188042117856,-0.3509260327727706,-0.25409698486328125,0.23727778347357184,2.3958617316351996,2.044935698862429,0.0,54
