experiment_type,layer,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_features
ablation_zero,10,0.6429036458333334,0.6344401041666667,0.029952162289635334,0.4739583333333333,0.4666341145833333,65104.54292079769,3.0618489583333335,3.5358072916666665,0.020833333333333332,6
ablation_zero,11,0.48849826388888884,0.48876953125,0.009036257421267551,-0.21918402777777776,-0.21875,434028.0749520263,3.0618489583333335,2.8426649305555554,0.03125,3
ablation_zero,12,0.8316243489583333,0.8341471354166666,0.020443770913533534,-0.5897623697916667,-0.57861328125,179036.87548856987,3.0618489583333335,2.4720865885416665,0.07291666666666667,4
ablation_zero,13,0.5515950520833333,0.5515950520833333,0.012659789376712263,-0.09293619791666666,-0.09293619791666666,585937.7301285493,3.0618489583333335,2.968912760416667,0.015625,2
ablation_zero,14,0.62646484375,0.62646484375,0.04396399583549178,-0.09488932291666666,-0.09488932291666666,292969.1002386905,3.0618489583333335,2.966959635416667,0.03125,2
ablation_zero,15,0.3961588541666667,0.3961588541666667,,-0.0458984375,-0.0458984375,325521.0433573243,3.0618489583333335,3.0159505208333335,0.020833333333333332,1
ablation_zero,16,0.4624206628650427,0.4624206628650427,,-0.09724227401117484,-0.09724227401117484,97656.54318943403,3.344972396890322,3.2477301228791475,0.020833333333333332,1
ablation_zero,17,0.6786840669810772,0.6786840669810772,0.013082144701758634,0.4235748363037904,0.4235748363037904,488281.6120540744,3.3449723968903227,3.7685472331941128,0.03125,2
ablation_zero,18,0.4436848958333333,0.4436848958333333,,-0.032877604166666664,-0.032877604166666664,325521.08722896146,3.0618489583333335,3.0289713541666665,0.03125,1
ablation_zero,19,0.5383040271699429,0.5358072916666666,0.02416356163391802,0.045452028264602026,0.09440104166666667,690104.4923606075,3.175098333756129,3.220550362020731,0.020833333333333332,5
ablation_zero,20,0.6591796875,0.6591796875,0.00046035597733504424,-0.5061848958333334,-0.5061848958333334,716146.1560261303,3.0618489583333335,2.5556640625,0.05208333333333333,2
ablation_zero,21,0.5374348958333333,0.5374348958333333,0.000460355977335005,-0.22005208333333331,-0.22005208333333331,358073.2120822118,3.0618489583333335,2.841796875,0.020833333333333332,2
ablation_zero,22,0.9680989583333334,0.9739583333333334,0.03133803788166345,-0.7235243055555557,-0.7259114583333334,347222.7164842083,3.0618489583333335,2.338324652777778,0.08680555555555554,3
ablation_zero,23,1.2933240574267175,1.305908203125,0.06223382218036357,-0.861480061378744,-0.86328125,1030816.9327003984,3.1562234378523297,2.2947433764735856,0.10243055555555554,6
ablation_zero,24,0.5880859375,0.58984375,0.022759237833578864,-0.1650390625,-0.14485677083333334,507812.8519216147,3.0618489583333335,2.896809895833333,0.010416666666666666,5
ablation_zero,25,1.1196795840126772,1.1355794270833333,0.16856977628838085,-0.9791651723595957,-0.9908854166666667,341797.38889773475,3.132629817972581,2.153464645612985,0.0703125,8
patching,10,0.5979817708333334,0.60546875,0.02526751096992107,0.5094401041666666,0.5126953125,65104.7516236792,0.5260416666666666,1.0354817708333335,0.041666666666666664,8
patching,11,0.4932725694444444,0.49348958333333337,0.016282116921719526,-0.21310763888888887,-0.2158203125,889757.4177325334,0.5260416666666666,0.3129340277777778,0.0625,6
patching,12,0.6180555555555556,0.6188151041666667,0.023766736534079007,-0.43120659722222215,-0.4231770833333333,412326.99630390544,0.5260416666666666,0.09483506944444443,0.10416666666666667,6
patching,13,0.4602864583333333,0.4544270833333333,0.012472164101997411,0.126953125,0.13346354166666666,1128472.5444514975,0.5260416666666666,0.6529947916666666,0.03472222222222222,3
