experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,0,34,34.0,0.37683823529411764,0.375,0.28969243671124817,0.12683823529411764,0.03125,0.2319004510616081,1.625,1.7518382352941178,0.0,0,False,True,graph,True
ablation_zero,1,34,34.0,0.2417279411764706,0.1875,0.18420540214793182,0.05422794117647059,0.0,0.1074346400453885,2.25,2.3042279411764706,0.0,0,False,True,graph,True
ablation_zero,2,34,34.0,0.49172794117647056,0.375,0.3709781826451026,-0.16268382352941177,-0.3125,0.21263910877841274,2.3125,2.1498161764705883,0.0,0,False,True,graph,True
ablation_zero,3,34,34.0,0.3400735294117647,0.296875,0.3008003750691,0.03860294117647059,-0.015625,0.12508451610516577,2.71875,2.7573529411764706,0.0,0,False,True,graph,True
ablation_zero,4,34,34.0,0.30514705882352944,0.15625,0.35010979943119847,0.16176470588235295,0.0,0.3755656062373825,0.8125,0.9742647058823529,0.0,0,False,True,graph,True
ablation_zero,5,34,34.0,0.24356617647058823,0.140625,0.2511549330835657,-0.0818014705882353,-0.078125,0.0829161448992091,2.9375,2.8556985294117645,0.0,0,False,True,graph,True
ablation_zero,6,34,34.0,0.39797794117647056,0.25,0.37699193367931516,0.0744485294117647,-0.03125,0.2653186256821895,1.5,1.5744485294117647,0.0,0,False,True,graph,True
ablation_zero,7,34,34.0,0.3547794117647059,0.25,0.3470385357865256,0.23713235294117646,0.15625,0.3339100314593935,1.0625,1.2996323529411764,0.0,0,False,True,graph,True
ablation_zero,8,34,34.0,0.29411764705882354,0.25,0.2970735626891786,0.11397058823529412,-0.0625,0.1680672259303721,1.75,1.8639705882352942,0.0,0,False,True,graph,True
ablation_zero,9,34,34.0,0.3897058823529412,0.234375,0.3507158613734127,-0.05514705882352941,-0.15625,0.1299019603513072,3.0,2.9448529411764706,0.0,0,False,True,graph,True
ablation_zero,10,34,34.0,0.31066176470588236,0.1875,0.26549307959331625,0.10110294117647059,0.0,0.18409585947551035,1.6875,1.7886029411764706,0.0,0,False,True,graph,True
ablation_zero,11,34,34.0,0.30330882352941174,0.1875,0.3187378759359323,0.09375,-0.0625,0.26960784074074073,1.125,1.21875,0.0,0,False,True,graph,True
ablation_zero,12,34,34.0,0.32169117647058826,0.15625,0.42497837315216264,-0.25919117647058826,-0.125,0.3216911732536765,1.0,0.7408088235294118,0.08823529411764706,3,False,True,graph,True
ablation_zero,13,34,34.0,0.43014705882352944,0.4375,0.2708033371569298,-0.28308823529411764,-0.3125,0.4048442868471403,1.0625,0.7794117647058824,0.029411764705882353,1,False,True,graph,True
ablation_zero,14,34,34.0,0.41268382352941174,0.28125,0.342393968927119,-0.31893382352941174,-0.25,0.2000891255895857,2.0625,1.7435661764705883,0.0,0,False,True,graph,True
ablation_zero,15,34,34.0,0.34191176470588236,0.25,0.3241156726407054,-0.18382352941176472,-0.125,0.911764681568628,-0.375,-0.5588235294117647,0.08823529411764706,3,False,True,graph,True
ablation_zero,16,34,34.0,0.6332720588235294,0.375,0.5781344093997489,-0.5615808823529411,-0.375,0.19485294057692304,3.25,2.688419117647059,0.0,0,False,True,graph,True
ablation_zero,17,34,34.0,0.23988970588235295,0.1875,0.19804928594556265,-0.05974264705882353,0.046875,1.9191174935294242,-0.125,-0.18474264705882354,0.20588235294117646,7,False,True,graph,True
ablation_zero,18,34,34.0,0.41911764705882354,0.3125,0.4066590049978127,-0.33455882352941174,-0.25,0.5588235219607843,0.75,0.41544117647058826,0.14705882352941177,5,False,True,graph,True
ablation_zero,19,34,34.0,0.28308823529411764,0.21875,0.2607695915121192,-0.17647058823529413,-0.125,0.37745097535947714,0.75,0.5735294117647058,0.08823529411764706,3,False,True,graph,True
ablation_zero,20,34,34.0,0.5560661764705882,0.359375,0.5420733146378941,-0.43106617647058826,-0.203125,0.2917068451428301,1.90625,1.4751838235294117,0.029411764705882353,1,False,True,graph,True
ablation_zero,21,34,34.0,0.23253676470588236,0.1875,0.1776435839696422,0.017463235294117647,-0.0625,0.4133986854611475,0.5625,0.5799632352941176,0.0,0,False,True,graph,True
ablation_zero,22,34,34.0,0.5514705882352942,0.34375,0.5894171227265796,-0.48161764705882354,-0.3125,0.19607843067538125,2.8125,2.3308823529411766,0.0,0,False,True,graph,True
ablation_zero,23,34,34.0,0.43566176470588236,0.3125,0.3857319433623884,-0.28125,-0.25,0.43566176034926474,-1.0,-1.28125,0.0,0,False,True,graph,True
