cluster_id,n_features,representative,method,missingness_rate
0,22,L17_F153539,agglomerative,0.9375
4,3,L19_F130590,agglomerative,0.9375
3,3,L22_F110496,agglomerative,0.9375
2,3,L24_F249,agglomerative,0.9375
1,3,L25_F71226,agglomerative,0.9375
