layer,n_en_features,n_fr_features,n_intersection,n_union,iou
10,873,711,275,1309,0.2101
11,783,645,270,1158,0.2332
12,759,634,274,1119,0.2449
13,795,703,291,1207,0.2411
14,812,689,275,1226,0.2243
15,890,655,304,1241,0.245
16,418,351,151,618,0.2443
17,834,635,301,1168,0.2577
18,742,556,246,1052,0.2338
19,720,501,213,1008,0.2113
20,933,592,269,1256,0.2142
21,871,624,251,1244,0.2018
22,827,602,257,1172,0.2193
23,858,540,228,1170,0.1949
24,828,541,220,1149,0.1915
25,888,597,246,1239,0.1985
