feature_id,mean_effect_size,disrupts
L23_F40170,-1.2112630208333333,True
L23_F8645,-1.1767578125,True
L23_F5853,-1.1705729166666667,True
L23_F153393,-1.1513671875,True
L23_F53700,-1.1487630208333333,True
L23_F56267,-1.1292317708333333,True
L23_F3316,-1.1064453125,True
L23_F83865,-1.0924479166666667,True
L23_F111979,-1.0035807291666667,True
L25_F41381,-0.9244791666666666,True
L25_F59053,-0.8815104166666666,True
L25_F159196,-0.8626302083333334,True
L25_F111603,-0.8606770833333334,True
L25_F43384,-0.8587239583333334,True
L23_F64429,-0.8512369791666666,True
L25_F163068,-0.8248697916666666,True
L25_F19816,-0.822265625,True
L25_F15948,-0.8190104166666666,True
L25_F34754,-0.8177083333333334,True
L25_F90133,-0.8111979166666666,True
L25_F70978,-0.8098958333333334,True
L25_F138698,-0.8040364583333334,True
L25_F64049,-0.8033854166666666,True
L25_F63207,-0.7975260416666666,True
L22_F160273,-0.7890625,True
L25_F104408,-0.7662760416666666,True
L22_F145377,-0.759765625,True
L25_F142914,-0.7526041666666666,True
L22_F108295,-0.736328125,True
L22_F99330,-0.728515625,True
L22_F41906,-0.7083333333333334,True
L20_F149117,-0.6315104166666666,True
L20_F11606,-0.6246744791666666,True
L20_F71357,-0.58984375,True
L20_F101236,-0.5875651041666666,True
L20_F111853,-0.5836588541666666,True
L20_F145235,-0.5791015625,True
L20_F98282,-0.576171875,True
L20_F158746,-0.5755208333333334,True
L22_F32734,-0.5625,True
L12_F22710,-0.46875,True
L12_F71563,-0.4453125,True
L12_F83869,-0.4251302083333333,True
L12_F40178,-0.4212239583333333,True
L12_F28960,-0.4192708333333333,True
L12_F146578,-0.4075520833333333,True
L21_F145615,-0.2721354166666667,True
L21_F129759,-0.2591145833333333,True
L11_F56459,-0.23046875,True
L11_F89663,-0.22200520833333334,True
L11_F77813,-0.21875,True
L11_F59878,-0.212890625,True
L11_F33438,-0.20247395833333334,True
L24_F48363,-0.19596354166666666,True
L11_F126143,-0.19205729166666666,True
L24_F119196,-0.18619791666666666,True
L24_F36045,-0.17578125,True
L24_F81698,-0.146484375,True
L18_F152973,-0.134765625,True
L24_F58564,-0.13346354166666666,True
L24_F60321,-0.12955729166666666,True
L24_F76837,-0.12044270833333333,True
L24_F134204,-0.119140625,True
L14_F57525,-0.11263020833333333,True
L24_F29680,-0.11263020833333333,True
L14_F41052,-0.11002604166666667,True
L24_F118673,-0.109375,True
L24_F79080,-0.08723958333333333,True
L24_F5768,-0.0013020833333333333,True
L24_F136810,0.004557291666666667,False
L24_F76363,0.004557291666666667,False
L24_F131457,0.015625,False
L16_F45664,0.07161458333333333,False
L15_F127839,0.11002604166666667,False
L13_F70603,0.11328125,False
L19_F135640,0.119140625,False
L19_F27199,0.125,False
L19_F123748,0.13216145833333334,False
L19_F6873,0.1328125,False
L13_F72758,0.13346354166666666,False
L19_F29102,0.13346354166666666,False
L13_F5837,0.13411458333333334,False
L17_F110833,0.3948567708333333,False
L10_F59805,0.4654947916666667,False
L10_F68612,0.5,False
L10_F40520,0.5071614583333334,False
L10_F126447,0.509765625,False
L10_F104215,0.515625,False
L10_F131503,0.517578125,False
L10_F148569,0.5266927083333334,False
L10_F141643,0.533203125,False
