layer,n_en_features,n_fr_features,n_intersection,n_union,iou
10,226,485,121,590,0.2051
11,214,377,111,480,0.2313
12,171,373,101,443,0.228
13,227,424,123,528,0.233
14,235,444,109,570,0.1912
15,239,439,108,570,0.1895
16,128,226,84,270,0.3111
17,260,505,134,631,0.2124
18,220,375,110,485,0.2268
19,229,366,115,480,0.2396
20,280,428,120,588,0.2041
21,255,369,114,510,0.2235
22,215,346,111,450,0.2467
23,197,318,111,404,0.2748
24,155,292,79,368,0.2147
25,144,264,74,334,0.2216
