experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
steering,23,15,"[45839, 130314, 150216, 127839, 83487]",-1.890625,-1.0,0.890625,0.890625,0.4710743776736562,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,24,15,"[45839, 130314, 150216, 127839, 83487]",6.1875,6.4375,0.25,0.25,0.04040404033874095,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,25,15,"[45839, 130314, 150216, 127839, 83487]",5.03125,5.65625,0.625,0.625,0.124223602237568,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,26,15,"[45839, 130314, 150216, 127839, 83487]",6.0,6.5625,0.5625,0.5625,0.09374999984375,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,27,15,"[45839, 130314, 150216, 127839, 83487]",4.8125,4.8125,0.0,0.0,0.0,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,28,15,"[45839, 130314, 150216, 127839, 83487]",6.875,6.9375,0.0625,0.0625,0.009090909077685951,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,29,15,"[45839, 130314, 150216, 127839, 83487]",4.0625,3.3125,-0.75,0.75,0.18461538416094675,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,30,15,"[45839, 130314, 150216, 127839, 83487]",7.03125,7.03125,0.0,0.0,0.0,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,31,15,"[45839, 130314, 150216, 127839, 83487]",7.5,7.53125,0.03125,0.03125,0.0041666666611111115,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,32,15,"[45839, 130314, 150216, 127839, 83487]",4.25,4.875,0.625,0.625,0.147058823183391,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,33,15,"[45839, 130314, 150216, 127839, 83487]",7.4375,7.625,0.1875,0.1875,0.025210083999717536,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,34,15,"[45839, 130314, 150216, 127839, 83487]",7.0625,4.5,-2.5625,2.5625,0.36283185789333544,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,35,15,"[45839, 130314, 150216, 127839, 83487]",8.3125,9.75,1.4375,1.4375,0.17293233061902877,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,36,15,"[45839, 130314, 150216, 127839, 83487]",5.53125,5.40625,-0.125,0.125,0.02259887001564046,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,37,15,"[45839, 130314, 150216, 127839, 83487]",7.875,7.75,-0.125,0.125,0.015873015852859662,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,38,15,"[45839, 130314, 150216, 127839, 83487]",-0.9375,-2.09375,-1.15625,1.15625,1.2333333201777779,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,39,15,"[45839, 130314, 150216, 127839, 83487]",6.125,5.8125,-0.3125,0.3125,0.05102040807996668,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,40,15,"[45839, 130314, 150216, 127839, 83487]",3.921875,3.75,-0.171875,0.171875,0.04382470108347487,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,41,15,"[45839, 130314, 150216, 127839, 83487]",6.5625,7.90625,1.34375,1.34375,0.20476190444988662,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,42,15,"[45839, 130314, 150216, 127839, 83487]",9.5,8.9375,-0.5625,0.5625,0.0592105262534626,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,43,15,"[45839, 130314, 150216, 127839, 83487]",-0.9375,-1.4375,-0.5,0.5,0.5333333276444445,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,44,15,"[45839, 130314, 150216, 127839, 83487]",8.75,7.65625,-1.09375,1.09375,0.12499999985714284,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,45,15,"[45839, 130314, 150216, 127839, 83487]",4.25,4.40625,0.15625,0.15625,0.03676470579584775,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,46,15,"[45839, 130314, 150216, 127839, 83487]",10.625,10.625,0.0,0.0,0.0,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,47,15,"[45839, 130314, 150216, 127839, 83487]",5.6875,7.8125,2.125,2.125,0.3736263729694481,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,48,15,"[45839, 130314, 150216, 127839, 83487]",8.5,9.125,0.625,0.625,0.07352941167820068,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,49,15,"[45839, 130314, 150216, 127839, 83487]",6.625,11.6875,5.0625,5.0625,0.764150942242791,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,50,15,"[45839, 130314, 150216, 127839, 83487]",9.875,10.125,0.25,0.25,0.02531645567056561,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,51,15,"[45839, 130314, 150216, 127839, 83487]",8.0625,6.4375,-1.625,1.625,0.20155038734691422,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,52,15,"[45839, 130314, 150216, 127839, 83487]",7.5,7.0,-0.5,0.5,0.06666666657777778,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,53,15,"[45839, 130314, 150216, 127839, 83487]",6.6875,8.5,1.8125,1.8125,0.271028036977902,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,54,15,"[45839, 130314, 150216, 127839, 83487]",7.5,7.9375,0.4375,0.4375,0.05833333325555556,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,55,15,"[45839, 130314, 150216, 127839, 83487]",5.90625,5.1875,-0.71875,0.71875,0.12169312148708043,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,56,15,"[45839, 130314, 150216, 127839, 83487]",10.625,10.0625,-0.5625,0.5625,0.052941176420761245,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,57,15,"[45839, 130314, 150216, 127839, 83487]",9.125,9.5625,0.4375,0.4375,0.04794520542690936,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,58,15,"[45839, 130314, 150216, 127839, 83487]",4.6875,4.9375,0.25,0.25,0.05333333321955556,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,59,15,"[45839, 130314, 150216, 127839, 83487]",4.25,5.3125,1.0625,1.0625,0.2499999994117647,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,60,15,"[45839, 130314, 150216, 127839, 83487]",6.21875,7.09375,0.875,0.875,0.1407035173616828,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,61,15,"[45839, 130314, 150216, 127839, 83487]",4.03125,5.4375,1.40625,1.40625,0.34883720843699295,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,62,15,"[45839, 130314, 150216, 127839, 83487]",2.90625,4.34375,1.4375,1.4375,0.4946236542120476,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,63,15,"[45839, 130314, 150216, 127839, 83487]",4.96875,4.5,-0.46875,0.46875,0.09433962245164353,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,64,15,"[45839, 130314, 150216, 127839, 83487]",3.3125,3.6875,0.375,0.375,0.11320754682805269,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,65,15,"[45839, 130314, 150216, 127839, 83487]",4.59375,5.0625,0.46875,0.46875,0.10204081610440095,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,66,15,"[45839, 130314, 150216, 127839, 83487]",5.15625,4.75,-0.40625,0.40625,0.07878787863507805,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,67,15,"[45839, 130314, 150216, 127839, 83487]",6.59375,8.25,1.65625,1.65625,0.2511848337422789,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,68,15,"[45839, 130314, 150216, 127839, 83487]",12.0625,11.4375,-0.625,0.625,0.051813471459636495,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,69,15,"[45839, 130314, 150216, 127839, 83487]",3.0,1.5625,-1.4375,1.4375,0.47916666506944444,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,70,15,"[45839, 130314, 150216, 127839, 83487]",2.359375,3.015625,0.65625,0.65625,0.27814569418534274,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,71,15,"[45839, 130314, 150216, 127839, 83487]",6.71875,6.4375,-0.28125,0.28125,0.04186046505397512,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,72,15,"[45839, 130314, 150216, 127839, 83487]",5.96875,6.375,0.40625,0.40625,0.06806282711109893,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,73,15,"[45839, 130314, 150216, 127839, 83487]",6.84375,10.125,3.28125,3.28125,0.47945205409395136,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,74,15,"[45839, 130314, 150216, 127839, 83487]",7.25,6.625,-0.625,0.625,0.08620689643281808,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,75,15,"[45839, 130314, 150216, 127839, 83487]",5.84375,6.15625,0.3125,0.3125,0.053475935737367385,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,76,15,"[45839, 130314, 150216, 127839, 83487]",9.125,8.1875,-0.9375,0.9375,0.10273972591480578,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,77,15,"[45839, 130314, 150216, 127839, 83487]",1.78125,1.5,-0.28125,0.28125,0.15789473595567868,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,78,15,"[45839, 130314, 150216, 127839, 83487]",1.625,0.5625,-1.0625,1.0625,0.6538461498224852,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,79,15,"[45839, 130314, 150216, 127839, 83487]",8.875,12.5625,3.6875,3.6875,0.41549295727831775,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,80,15,"[45839, 130314, 150216, 127839, 83487]",10.875,12.0,1.125,1.125,0.10344827576694411,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,81,15,"[45839, 130314, 150216, 127839, 83487]",10.875,10.625,-0.25,0.25,0.02298850572598758,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,82,15,"[45839, 130314, 150216, 127839, 83487]",6.6875,7.875,1.1875,1.1875,0.17757009319241857,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,83,15,"[45839, 130314, 150216, 127839, 83487]",10.75,9.625,-1.125,1.125,0.10465116269334775,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,84,15,"[45839, 130314, 150216, 127839, 83487]",0.9375,0.0,-0.9375,0.9375,0.9999999893333333,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,85,15,"[45839, 130314, 150216, 127839, 83487]",6.5,5.6875,-0.8125,0.8125,0.1249999998076923,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,86,15,"[45839, 130314, 150216, 127839, 83487]",10.5625,8.125,-2.4375,2.4375,0.23076923055075102,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,87,15,"[45839, 130314, 150216, 127839, 83487]",5.5625,3.1875,-2.375,2.375,0.4269662913672516,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,88,15,"[45839, 130314, 150216, 127839, 83487]",8.8125,9.0,0.1875,0.1875,0.021276595720537195,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,89,15,"[45839, 130314, 150216, 127839, 83487]",5.09375,5.25,0.15625,0.15625,0.030674846565546313,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,90,15,"[45839, 130314, 150216, 127839, 83487]",6.8125,7.3125,0.5,0.5,0.073394495305109,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,91,15,"[45839, 130314, 150216, 127839, 83487]",9.125,7.25,-1.875,1.875,0.20547945182961155,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,92,15,"[45839, 130314, 150216, 127839, 83487]",4.71875,3.21875,-1.5,1.5,0.3178807940283321,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,93,15,"[45839, 130314, 150216, 127839, 83487]",7.4375,6.875,-0.5625,0.5625,0.0756302519991526,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,94,15,"[45839, 130314, 150216, 127839, 83487]",7.375,7.375,0.0,0.0,0.0,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,95,15,"[45839, 130314, 150216, 127839, 83487]",5.75,5.84375,0.09375,0.09375,0.01630434779773157,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,96,15,"[45839, 130314, 150216, 127839, 83487]",5.09375,4.46875,-0.625,0.625,0.12269938626218525,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,97,15,"[45839, 130314, 150216, 127839, 83487]",5.4375,4.03125,-1.40625,1.40625,0.25862068917954817,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,98,15,"[45839, 130314, 150216, 127839, 83487]",6.25,5.125,-1.125,1.125,0.179999999712,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,99,15,"[45839, 130314, 150216, 127839, 83487]",9.3125,9.5,0.1875,0.1875,0.020134228166298812,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,0,16,"[126692, 136591]",8.375,8.0,-0.375,0.375,0.04477611934952105,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,1,16,"[126692, 136591]",4.78125,4.0,-0.78125,0.78125,0.1633986924687086,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,2,16,"[126692, 136591]",12.0625,12.25,0.1875,0.1875,0.015544041437890949,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,3,16,"[126692, 136591]",10.0,9.875,-0.125,0.125,0.0124999999875,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,4,16,"[126692, 136591]",7.65625,8.0625,0.40625,0.40625,0.053061224420491465,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,5,16,"[126692, 136591]",3.65625,3.875,0.21875,0.21875,0.059829059665424796,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,6,16,"[126692, 136591]",11.0,10.9375,-0.0625,0.0625,0.005681818176652892,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,7,16,"[126692, 136591]",5.90625,5.5625,-0.34375,0.34375,0.058201058102516724,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
steering,8,16,"[126692, 136591]",5.96875,6.0,0.03125,0.03125,0.005235602085469148,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 2}",graph,,True,,-1
