community_id,n_features,layer_min,layer_max,members
0,5,23,25,"L23_F6889,L24_F30233,L24_F35447,L25_F43384,L25_F54011"
4,5,21,23,"L21_F54492,L22_F32734,L22_F78043,L23_F40170,L23_F95530"
1,1,14,14,L14_F97679
2,1,19,19,L19_F130826
3,1,18,18,L18_F124002
5,1,18,18,L18_F149556
6,1,22,22,L22_F128994
7,1,24,24,L24_F106340
8,1,18,18,L18_F27853
9,1,20,20,L20_F89742
10,1,19,19,L19_F27199
11,1,22,22,L22_F54937
