community_id,n_features,layer_min,layer_max,members
2,84,10,25,"L10_F105893,L10_F25281,L10_F79308,L11_F19181,L11_F22932,L11_F71948,L11_F74435,L12_F115685,L12_F36695,L12_F39488,L12_F4447,L12_F83869,L12_F97987,L13_F101365,L13_F117585,L13_F136136,L13_F41281,L13_F70603,L14_F119931,L14_F141271,L14_F65047,L15_F106898,L15_F127839,L15_F41361,L16_F43079,L16_F45664,L16_F88149,L17_F111317,L17_F19808,L17_F765,L18_F149556,L18_F152973,L18_F162386,L18_F27853,L18_F30993,L18_F36517,L18_F64813,L18_F89981,L19_F107296,L19_F114972,L19_F135640,L19_F161546,L19_F47233,L19_F94381,L20_F145235,L20_F41532,L20_F89742,L21_F148238,L21_F149302,L21_F27974,L21_F45934,L21_F98305,L22_F112402,L22_F117460,L22_F128994,L22_F156288,L22_F21398,L22_F28889,L22_F41906,L22_F78043,L22_F87274,L23_F21886,L23_F31558,L23_F37689,L23_F40170,L23_F50133,L23_F5853,L23_F67377,L23_F6889,L23_F83865,L23_F90775,L23_F95530,L24_F30118,L24_F30233,L24_F35447,L24_F37068,L24_F60321,L24_F7040,L24_F83684,L25_F41381,L25_F43384,L25_F54011,L25_F71226,L25_F90133"
1,33,10,25,"L10_F39895,L11_F155466,L12_F4318,L13_F63127,L14_F129011,L14_F97679,L15_F114080,L15_F83110,L16_F76227,L17_F51924,L17_F73263,L18_F124002,L19_F104925,L19_F107766,L19_F27199,L19_F29102,L20_F114946,L20_F163381,L20_F36426,L21_F157292,L21_F30285,L21_F54037,L21_F54492,L22_F67935,L22_F97011,L23_F2019,L23_F29447,L23_F56246,L24_F106340,L24_F129842,L24_F132037,L24_F32871,L25_F12057"
0,20,10,25,"L10_F131503,L10_F141643,L11_F89663,L12_F22710,L19_F130826,L20_F101236,L21_F145615,L22_F108295,L22_F161300,L22_F32734,L22_F54937,L23_F56267,L23_F64429,L24_F131457,L24_F134204,L24_F29680,L24_F81698,L25_F104408,L25_F142914,L25_F63207"
