community_id,n_features,layer_min,layer_max,members
4,7,21,24,"L21_F54492,L22_F32734,L22_F54937,L22_F78043,L23_F40170,L23_F95530,L24_F30233"
3,6,18,20,"L18_F124002,L18_F149556,L18_F27853,L19_F130826,L19_F27199,L20_F89742"
0,4,22,25,"L22_F128994,L23_F6889,L24_F35447,L25_F43384"
1,2,24,25,"L24_F106340,L25_F54011"
2,1,14,14,L14_F97679
