experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
patching,10,154631,14,14.0,0.5290178571428571,0.328125,0.4774771386420759,0.3236607142857143,0.234375,0.20551978393421058,3.779017857142857,4.102678571428571,0.0,0
patching,10,159221,14,14.0,0.5290178571428571,0.328125,0.4774771386420759,0.3236607142857143,0.234375,0.20551978393421058,3.779017857142857,4.102678571428571,0.0,0
patching,11,1564,14,14.0,0.4799107142857143,0.4375,0.31408423978936917,-0.12276785714285714,-0.28125,0.36080761041464354,3.779017857142857,3.65625,0.07142857142857142,1
patching,11,2848,14,14.0,0.4799107142857143,0.4375,0.31408423978936917,-0.12276785714285714,-0.28125,0.36080761041464354,3.779017857142857,3.65625,0.07142857142857142,1
patching,12,1302,14,14.0,0.5133928571428571,0.203125,0.8318439070608654,0.3392857142857143,0.0,0.1971691227424018,3.779017857142857,4.118303571428571,0.0,0
patching,12,43835,14,14.0,0.5133928571428571,0.203125,0.8318439070608654,0.3392857142857143,0.0,0.1971691227424018,3.779017857142857,4.118303571428571,0.0,0
patching,12,146578,14,14.0,0.5133928571428571,0.203125,0.8318439070608654,0.3392857142857143,0.0,0.1971691227424018,3.779017857142857,4.118303571428571,0.0,0
patching,13,3203,14,14.0,0.27455357142857145,0.25,0.2120110932005915,-0.11383928571428571,-0.109375,0.20355061611893263,3.779017857142857,3.6651785714285716,0.07142857142857142,1
patching,13,12706,14,14.0,0.27455357142857145,0.25,0.2120110932005915,-0.11383928571428571,-0.109375,0.20355061611893263,3.779017857142857,3.6651785714285716,0.07142857142857142,1
patching,13,50574,14,14.0,0.27455357142857145,0.25,0.2120110932005915,-0.11383928571428571,-0.109375,0.20355061611893263,3.779017857142857,3.6651785714285716,0.07142857142857142,1
patching,14,34380,14,14.0,0.15178571428571427,0.15625,0.09717860525178018,0.017857142857142856,0.03125,0.03905302050013476,3.779017857142857,3.796875,0.0,0
patching,14,57525,14,14.0,0.15178571428571427,0.15625,0.09717860525178018,0.017857142857142856,0.03125,0.03905302050013476,3.779017857142857,3.796875,0.0,0
patching,14,114887,14,14.0,0.15178571428571427,0.15625,0.09717860525178018,0.017857142857142856,0.03125,0.03905302050013476,3.779017857142857,3.796875,0.0,0
patching,15,27553,6,6.0,0.9479166666666666,0.71875,0.797864989623349,-0.6145833333333334,-0.375,0.9358673301319435,3.8072916666666665,3.1927083333333335,0.16666666666666666,1
patching,15,32893,11,11.0,0.59375,0.3125,0.7249730598442952,-0.5142045454545454,-0.25,0.5622126926932899,3.747159090909091,3.2329545454545454,0.09090909090909091,1
patching,15,111371,10,10.0,0.471875,0.25,0.6748279744785991,-0.346875,-0.125,0.09475232171544964,4.265625,3.91875,0.0,0
patching,15,126720,12,12.0,0.4895833333333333,0.3125,0.4630013662523202,-0.3020833333333333,-0.21875,0.5162704962519361,3.5052083333333335,3.203125,0.08333333333333333,1
patching,15,127839,11,11.0,0.6960227272727273,0.3125,0.6965443314548029,-0.5710227272727273,-0.3125,0.5858693954011096,3.758522727272727,3.1875,0.09090909090909091,1
patching,15,135551,10,10.0,0.640625,0.28125,0.7516258419253559,-0.453125,-0.125,0.6177352041955348,3.565625,3.1125,0.1,1
patching,15,144842,10,10.0,0.390625,0.28125,0.3839357811246274,-0.228125,-0.15625,0.12727461089595618,3.875,3.646875,0.0,0
patching,16,33604,14,14.0,0.27901785714285715,0.21875,0.23845464945960082,-0.024553571428571428,-0.03125,0.10376725994510493,3.779017857142857,3.7544642857142856,0.0,0
patching,17,3637,14,14.0,0.2767857142857143,0.15625,0.34295299713190763,0.14285714285714285,0.03125,0.09406580863792814,3.779017857142857,3.921875,0.0,0
patching,17,44675,14,14.0,0.2767857142857143,0.15625,0.34295299713190763,0.14285714285714285,0.03125,0.09406580863792814,3.779017857142857,3.921875,0.0,0
patching,17,65581,14,14.0,0.2767857142857143,0.15625,0.34295299713190763,0.14285714285714285,0.03125,0.09406580863792814,3.779017857142857,3.921875,0.0,0
patching,17,111317,14,14.0,0.2767857142857143,0.15625,0.34295299713190763,0.14285714285714285,0.03125,0.09406580863792814,3.779017857142857,3.921875,0.0,0
patching,17,151157,14,14.0,0.2767857142857143,0.15625,0.34295299713190763,0.14285714285714285,0.03125,0.09406580863792814,3.779017857142857,3.921875,0.0,0
patching,18,109919,14,14.0,0.9151785714285714,0.734375,0.8720269349479554,0.7723214285714286,0.734375,0.3202358511277251,3.779017857142857,4.551339285714286,0.07142857142857142,1
patching,18,143489,14,14.0,0.9151785714285714,0.734375,0.8720269349479554,0.7723214285714286,0.734375,0.3202358511277251,3.779017857142857,4.551339285714286,0.07142857142857142,1
patching,18,152973,14,14.0,0.9151785714285714,0.734375,0.8720269349479554,0.7723214285714286,0.734375,0.3202358511277251,3.779017857142857,4.551339285714286,0.07142857142857142,1
patching,19,11545,14,14.0,0.2857142857142857,0.359375,0.1809169448505748,-0.03571428571428571,-0.03125,0.12168915069267718,3.779017857142857,3.7433035714285716,0.0,0
patching,19,44984,14,14.0,0.2857142857142857,0.359375,0.1809169448505748,-0.03571428571428571,-0.03125,0.12168915069267718,3.779017857142857,3.7433035714285716,0.0,0
patching,19,68247,13,13.0,0.27884615384615385,0.34375,0.18639498100085125,-0.009615384615384616,0.0,0.12383831614860427,3.762019230769231,3.7524038461538463,0.0,0
patching,19,103010,13,13.0,0.28125,0.375,0.1875,-0.06490384615384616,-0.0625,0.12540882896312244,3.7091346153846154,3.644230769230769,0.0,0
patching,19,135661,2,2.0,0.359375,0.359375,0.02209708691207961,-0.015625,-0.015625,0.0835416664712569,4.34375,4.328125,0.0,0
patching,19,141119,14,14.0,0.2857142857142857,0.359375,0.1809169448505748,-0.03571428571428571,-0.03125,0.12168915069267718,3.779017857142857,3.7433035714285716,0.0,0
patching,20,26284,14,14.0,0.39955357142857145,0.375,0.32201349975540666,0.078125,0.015625,0.12994548326339422,3.779017857142857,3.857142857142857,0.0,0
patching,20,58760,9,9.0,0.46875,0.4375,0.36241917202322504,0.1076388888888889,0.03125,0.15026459219489888,3.84375,3.951388888888889,0.0,0
patching,20,68236,11,11.0,0.26420454545454547,0.3125,0.1892437851747653,-0.008522727272727272,0.0,0.1140004272151265,3.508522727272727,3.5,0.0,0
patching,20,78322,8,8.0,0.5078125,0.46875,0.36814796496401125,0.1640625,0.15625,0.12901093778181966,4.078125,4.2421875,0.0,0
