experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
ablation_zero,10,20,20.0,0.4609375,0.25,0.48770607570840735,0.2421875,0.1875,0.1673276451618332,3.71875,3.9609375,0.0,0
ablation_zero,11,20,20.0,0.5515625,0.375,0.5145173509618403,-0.3203125,-0.34375,0.32533508093594743,3.71875,3.3984375,0.05,1
ablation_zero,12,20,20.0,0.3734375,0.1875,0.48140537051073595,0.0765625,-0.15625,0.12398134942790429,3.71875,3.7953125,0.0,0
ablation_zero,13,20,20.0,0.221875,0.15625,0.19891254525015442,-0.184375,-0.15625,0.15023641989160313,3.71875,3.534375,0.05,1
ablation_zero,14,20,20.0,0.203125,0.171875,0.1552600217123045,-0.075,-0.0625,0.055511889061262906,3.71875,3.64375,0.0,0
ablation_zero,15,20,20.0,0.4703125,0.28125,0.4419969775066341,-0.2203125,-0.25,0.34999155020882655,3.71875,3.4984375,0.05,1
ablation_zero,16,20,20.0,0.2390625,0.140625,0.21152908029207362,0.0203125,0.078125,0.08472728356649152,3.71875,3.7390625,0.0,0
ablation_zero,17,20,20.0,0.2671875,0.1875,0.35274927612854223,0.1046875,-0.03125,0.07590801707795589,3.71875,3.8234375,0.0,0
ablation_zero,18,20,20.0,1.0625,0.703125,1.1598228936940511,0.765625,0.65625,0.36821499926930223,3.71875,4.484375,0.05,1
ablation_zero,19,20,20.0,0.2625,0.203125,0.2571749992965061,-0.00625,-0.09375,0.09394573356807148,3.71875,3.7125,0.0,0
ablation_zero,20,20,20.0,0.284375,0.1875,0.2495678831289669,0.046875,0.03125,0.09966596152776645,3.71875,3.765625,0.0,0
ablation_zero,21,20,20.0,0.2625,0.140625,0.2638826368911596,0.11875,0.03125,0.09879300476122006,3.71875,3.8375,0.0,0
ablation_zero,22,20,20.0,0.75625,0.5625,0.6038016895166474,-0.321875,-0.25,0.2391752210356901,3.71875,3.396875,0.0,0
ablation_zero,23,20,20.0,0.3890625,0.421875,0.33311524869701425,0.2109375,0.125,0.11639120432948155,3.71875,3.9296875,0.0,0
ablation_zero,24,20,20.0,3.0703125,3.125,2.243271073905188,-2.7578125,-2.53125,0.890143381803429,3.71875,0.9609375,0.4,8
ablation_zero,25,20,20.0,1.15,0.4375,1.7715020667129973,-0.903125,-0.375,0.3365649391770025,3.71875,2.815625,0.15,3
patching,10,14,14.0,0.5290178571428571,0.328125,0.4774771386420759,0.3236607142857143,0.234375,0.20551978393421058,3.779017857142857,4.102678571428571,0.0,0
patching,11,14,14.0,0.4799107142857143,0.4375,0.31408423978936917,-0.12276785714285714,-0.28125,0.36080761041464354,3.779017857142857,3.65625,0.07142857142857142,1
patching,12,14,14.0,0.5133928571428571,0.203125,0.8318439070608654,0.3392857142857143,0.0,0.1971691227424018,3.779017857142857,4.118303571428571,0.0,0
patching,13,14,14.0,0.27455357142857145,0.25,0.2120110932005915,-0.11383928571428571,-0.109375,0.20355061611893263,3.779017857142857,3.6651785714285716,0.07142857142857142,1
patching,14,14,14.0,0.15178571428571427,0.15625,0.09717860525178018,0.017857142857142856,0.03125,0.03905302050013476,3.779017857142857,3.796875,0.0,0
patching,15,14,14.0,0.5825892857142857,0.3125,0.6531643509098232,-0.421875,-0.21875,0.46909963247032416,3.779017857142857,3.357142857142857,0.07142857142857142,1
patching,16,14,14.0,0.27901785714285715,0.21875,0.23845464945960082,-0.024553571428571428,-0.03125,0.10376725994510493,3.779017857142857,3.7544642857142856,0.0,0
patching,17,14,14.0,0.2767857142857143,0.15625,0.34295299713190763,0.14285714285714285,0.03125,0.09406580863792814,3.779017857142857,3.921875,0.0,0
patching,18,14,14.0,0.9151785714285714,0.734375,0.8720269349479554,0.7723214285714286,0.734375,0.3202358511277251,3.779017857142857,4.551339285714286,0.07142857142857142,1
patching,19,14,14.0,0.2857142857142857,0.359375,0.1809169448505748,-0.03571428571428571,-0.03125,0.12168915069267718,3.779017857142857,3.7433035714285716,0.0,0
patching,20,14,14.0,0.39955357142857145,0.375,0.32201349975540666,0.078125,0.015625,0.12994548326339422,3.779017857142857,3.857142857142857,0.0,0
patching,21,14,14.0,0.30357142857142855,0.1875,0.26471948920892274,0.13392857142857142,0.109375,0.11181155909777092,3.779017857142857,3.9129464285714284,0.0,0
patching,22,14,14.0,1.0111607142857142,0.84375,1.0633203240826081,-0.49330357142857145,-0.21875,0.3938757561529213,3.779017857142857,3.2857142857142856,0.07142857142857142,1
patching,23,14,14.0,0.359375,0.21875,0.326086847651877,0.171875,0.03125,0.167617484932683,3.779017857142857,3.950892857142857,0.0,0
patching,24,14,14.0,2.3348214285714284,1.8125,2.0216462527921575,-1.8258928571428572,-1.40625,1.035092367990363,3.779017857142857,1.953125,0.2857142857142857,4
patching,25,14,14.0,1.4754464285714286,0.71875,1.9853042786031843,-1.1183035714285714,-0.53125,0.43322263347792994,3.779017857142857,2.6607142857142856,0.21428571428571427,3
steering,10,20,20.0,0.4296875,0.28125,0.46082946436861344,-0.2296875,-0.15625,0.12907760269991106,3.71875,3.4890625,0.0,0
steering,11,20,20.0,0.3671875,0.25,0.4607179171441367,0.0203125,-0.1875,0.1415344194104216,3.71875,3.7390625,0.0,0
steering,12,20,20.0,0.5171875,0.375,0.4925926434037828,0.2640625,0.15625,0.16759082555736582,3.71875,3.9828125,0.0,0
steering,13,20,20.0,0.309375,0.3125,0.24812205851365296,-0.084375,-0.09375,0.15956621009323724,3.71875,3.634375,0.05,1
steering,14,20,20.0,0.25625,0.21875,0.16018081887929686,-0.00625,-0.0625,0.08854432899347504,3.71875,3.7125,0.0,0
steering,15,20,20.0,0.8953125,0.84375,0.8039322432949251,-0.2484375,0.015625,0.419030487133643,3.71875,3.4703125,0.05,1
steering,16,20,20.0,0.2265625,0.1875,0.1989060852678443,0.0453125,0.125,0.06544721208525994,3.71875,3.7640625,0.0,0
steering,17,20,20.0,0.2875,0.3125,0.19597092963793863,-0.03125,-0.03125,0.09727013312606633,3.71875,3.6875,0.0,0
steering,18,20,20.0,0.4046875,0.234375,0.47733099706239374,0.1890625,0.03125,0.12751059236267914,3.71875,3.9078125,0.0,0
steering,19,20,20.0,0.6046875,0.5,0.47406796977554305,-0.2078125,-0.46875,0.2564564674423645,3.71875,3.5109375,0.05,1
steering,20,20,20.0,0.8875,0.6875,0.8435611387071136,0.365625,0.09375,0.3310502497991582,3.71875,4.084375,0.0,0
steering,21,20,20.0,0.2109375,0.15625,0.15136271083150948,-0.0109375,-0.046875,0.06930625318154662,3.71875,3.7078125,0.0,0
steering,22,20,20.0,3.2296875,2.75,2.5669544683532437,-2.9640625,-2.75,1.1222083929113988,3.71875,0.7546875,0.5,10
steering,23,20,20.0,0.475,0.40625,0.43533297903051055,0.259375,0.1875,0.19605328457599294,3.71875,3.978125,0.0,0
steering,24,20,20.0,3.3984375,3.515625,2.0949126534281617,-3.3234375,-3.515625,1.4903408630961557,3.71875,0.3953125,0.5,10
steering,25,20,20.0,0.9921875,0.4375,1.6186577587517088,-0.4734375,-0.0625,0.29641592141857914,3.71875,3.2453125,0.15,3
