cluster_id,n_features,representative,method,missingness_rate
0,33,L25_F15948,agglomerative,0.9434895833333333
1,10,L23_F40170,agglomerative,0.9434895833333333
2,8,L20_F145235,agglomerative,0.9434895833333333
3,7,L13_F117585,agglomerative,0.9434895833333333
4,6,L11_F148703,agglomerative,0.9434895833333333
5,6,L18_F152973,agglomerative,0.9434895833333333
6,5,L14_F111183,agglomerative,0.9434895833333333
7,5,L21_F105016,agglomerative,0.9434895833333333
