cluster_id,top_k,metadata_field,metadata_value,observed_count,expected_count,observed_fraction,expected_fraction,lift,log_odds,cluster_abs_mass_covered,fisher_pval,rank_within_field
0,30,cue_label,charge_plus_z_change,2,0.511,0.0667,0.017,3.9167,1.3652,0.1548,0.08677,4
0,30,cue_label,full_beta_process_spec,2,0.511,0.0667,0.017,3.9167,1.3652,0.1548,0.08677,4
0,30,cue_label,helium4_equivalence,1,0.511,0.0333,0.017,1.9583,0.6721,0.1548,0.41244,8
0,30,cue_label,antineutrino_emitted,1,0.638,0.0333,0.0213,1.5667,0.449,0.1548,0.48634,10
0,30,cue_label,n_to_p_plus_z_plus1,1,0.511,0.0333,0.017,1.9583,0.6721,0.1548,0.41244,8
0,50,cue_label,daughter_z_plus1,4,1.277,0.08,0.0255,3.1333,1.1421,0.2353,0.02955,5
0,50,cue_label,charge_plus_a_unchanged,4,0.638,0.08,0.0128,6.2667,1.8352,0.2353,0.00146,1
0,50,cue_label,full_beta_process_spec,4,0.851,0.08,0.017,4.7,1.5476,0.2353,0.00578,2
0,50,cue_label,charge_plus_z_change,3,0.851,0.06,0.017,3.525,1.2599,0.2353,0.04326,3
0,50,cue_label,composite_nuclear_object,3,0.851,0.06,0.017,3.525,1.2599,0.2353,0.04326,3
0,50,cue_label,z_plus1_a_unchanged,2,1.064,0.04,0.0213,1.88,0.6313,0.2353,0.28851,7
0,50,cue_label,narrative_ejection,2,0.638,0.04,0.0128,3.1333,1.1421,0.2353,0.12602,5
0,50,cue_label,antineutrino_emitted,2,1.064,0.04,0.0213,1.88,0.6313,0.2353,0.28851,7
0,50,cue_label,daughter_z_minus2,2,1.277,0.04,0.0255,1.5667,0.449,0.2353,0.37108,9
0,50,cue_label,helium4_equivalence,1,0.851,0.02,0.017,1.175,0.1613,0.2353,0.59627,10
0,50,cue_label,n_to_p_plus_z_plus1,1,0.851,0.02,0.017,1.175,0.1613,0.2353,0.59627,10
0,50,cue_label,neutron_to_proton,1,1.064,0.02,0.0213,0.94,-0.0619,0.2353,0.67901,13
0,50,cue_label,daughter_z_and_a_alpha,1,1.064,0.02,0.0213,0.94,-0.0619,0.2353,0.67901,13
0,50,cue_label,z_plus1_with_antineutrino,1,0.851,0.02,0.017,1.175,0.1613,0.2353,0.59627,10
0,75,cue_label,full_beta_process_spec,6,1.277,0.08,0.017,4.7,1.5476,0.3277,0.0003,1
0,75,cue_label,daughter_z_plus1,5,1.915,0.0667,0.0255,2.6111,0.9598,0.3277,0.02881,5
0,75,cue_label,charge_plus_z_change,5,1.277,0.0667,0.017,3.9167,1.3652,0.3277,0.00346,3
0,75,cue_label,charge_plus_a_unchanged,4,0.957,0.0533,0.0128,4.1778,1.4298,0.3277,0.00701,2
0,75,cue_label,daughter_z_minus2,4,1.915,0.0533,0.0255,2.0889,0.7366,0.3277,0.10782,6
0,75,cue_label,composite_nuclear_object,4,1.277,0.0533,0.017,3.1333,1.1421,0.3277,0.02529,4
0,75,cue_label,z_plus1_a_unchanged,3,1.596,0.04,0.0213,1.88,0.6313,0.3277,0.20358,8
0,75,cue_label,antineutrino_emitted,3,1.596,0.04,0.0213,1.88,0.6313,0.3277,0.20358,8
0,75,cue_label,emitted_charge_minus1,3,1.915,0.04,0.0255,1.5667,0.449,0.3277,0.29656,10
0,75,cue_label,helium4_equivalence,2,1.277,0.0267,0.017,1.5667,0.449,0.3277,0.37346,10
0,75,cue_label,z_plus1_with_antineutrino,2,1.277,0.0267,0.017,1.5667,0.449,0.3277,0.37346,10
0,75,cue_label,narrative_ejection,2,0.957,0.0267,0.0128,2.0889,0.7366,0.3277,0.24568,6
0,75,cue_label,daughter_a_minus4,2,1.596,0.0267,0.0213,1.2533,0.2258,0.3277,0.49211,13
0,75,cue_label,n_to_p_plus_z_plus1,1,1.277,0.0133,0.017,0.7833,-0.2442,0.3277,0.75395,16
0,75,cue_label,neutron_to_proton,1,1.596,0.0133,0.0213,0.6267,-0.4673,0.3277,0.82742,18
0,75,cue_label,daughter_z_and_a_alpha,1,1.596,0.0133,0.0213,0.6267,-0.4673,0.3277,0.82742,18
0,75,cue_label,charge_plus_daughter_z,1,1.277,0.0133,0.017,0.7833,-0.2442,0.3277,0.75395,16
0,75,cue_label,muon_family,1,0.957,0.0133,0.0128,1.0444,0.0435,0.3277,0.64978,14
0,75,cue_label,emitted_charge_plus2,1,1.915,0.0133,0.0255,0.5222,-0.6497,0.3277,0.87916,20
0,75,cue_label,not_nuclear_fragment,1,0.957,0.0133,0.0128,1.0444,0.0435,0.3277,0.64978,14
0,100,cue_label,daughter_z_plus1,6,2.553,0.06,0.0255,2.35,0.8544,0.4111,0.02441,4
0,100,cue_label,full_beta_process_spec,6,1.702,0.06,0.017,3.525,1.2599,0.4111,0.00157,2
0,100,cue_label,charge_plus_a_unchanged,5,1.277,0.05,0.0128,3.9167,1.3652,0.4111,0.002,1
0,100,cue_label,charge_plus_z_change,5,1.702,0.05,0.017,2.9375,1.0776,0.4111,0.01291,3
0,100,cue_label,daughter_z_minus2,5,2.553,0.05,0.0255,1.9583,0.6721,0.4111,0.08802,7
0,100,cue_label,composite_nuclear_object,4,1.702,0.04,0.017,2.35,0.8544,0.4111,0.06707,4
0,100,cue_label,emitted_charge_minus1,4,2.553,0.04,0.0255,1.5667,0.449,0.4111,0.23836,9
0,100,cue_label,z_plus1_a_unchanged,3,2.128,0.03,0.0213,1.41,0.3436,0.4111,0.36071,10
0,100,cue_label,antineutrino_emitted,3,2.128,0.03,0.0213,1.41,0.3436,0.4111,0.36071,10
0,100,cue_label,narrative_ejection,3,1.277,0.03,0.0128,2.35,0.8544,0.4111,0.11385,4
0,100,cue_label,helium4_equivalence,3,1.702,0.03,0.017,1.7625,0.5667,0.4111,0.23056,8
0,100,cue_label,n_to_p_plus_z_plus1,2,1.702,0.02,0.017,1.175,0.1613,0.4111,0.53503,12
0,100,cue_label,charge_plus_daughter_z,2,1.702,0.02,0.017,1.175,0.1613,0.4111,0.53503,12
0,100,cue_label,z_plus1_with_antineutrino,2,1.702,0.02,0.017,1.175,0.1613,0.4111,0.53503,12
0,100,cue_label,emitted_charge_plus2,2,2.553,0.02,0.0255,0.7833,-0.2442,0.4111,0.7633,17
0,100,cue_label,daughter_a_minus4,2,2.128,0.02,0.0213,0.94,-0.0619,0.4111,0.66428,16
0,100,cue_label,daughter_n_minus1,2,1.702,0.02,0.017,1.175,0.1613,0.4111,0.53503,12
0,100,cue_label,neutron_to_proton,1,2.128,0.01,0.0213,0.47,-0.755,0.4111,0.91095,22
0,100,cue_label,daughter_z_and_a_alpha,1,2.128,0.01,0.0213,0.47,-0.755,0.4111,0.91095,22
0,100,cue_label,muon_family,1,1.277,0.01,0.0128,0.7833,-0.2442,0.4111,0.76404,17
0,100,cue_label,not_nuclear_fragment,1,1.277,0.01,0.0128,0.7833,-0.2442,0.4111,0.76404,17
0,100,cue_label,emitted_2neutrons,1,1.702,0.01,0.017,0.5875,-0.5319,0.4111,0.85487,20
