cluster_id,metadata_field,metadata_value,best_topk,best_lift,lift_top10,lift_top20,lift_top30,lift_top50,lift_top75,lift_top100,weighted_lift,enrichment_type,confidence,note
1,cue_label,emitted_charge_minus1,10,3.9167,3.9167,1.9583,1.3056,1.5667,2.0889,2.35,1.4492,stable,high,lift>1.5 at 5/6 cutoffs; weighted lift=1.45
1,cue_label,emitted_charge_plus2,50,1.5667,,,,1.5667,1.0444,1.5667,1.1219,narrow_decisive,low,lift>1.5 at 2/3 cutoffs but weighted lift weak (1.12)
1,cue_label,emitted_mass_negligible,75,2.35,,,1.9583,1.175,2.35,2.35,1.5567,stable,high,lift>1.5 at 3/4 cutoffs; weighted lift=1.56
1,cue_label,full_beta_process_spec,30,1.9583,,,1.9583,1.175,0.7833,0.5875,0.9744,absent,medium,"max lift=1.96, weighted=0.97"
1,cue_label,full_emitted_alpha_spec,100,1.7625,,,,,1.5667,1.7625,1.129,narrow_decisive,low,lift>1.5 at 2/2 cutoffs but weighted lift weak (1.13)
1,cue_label,heavy_nuclear_fragment,10,7.8333,7.8333,3.9167,2.6111,3.1333,3.1333,2.35,1.8509,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.85
1,cue_label,helium4_equivalence,30,3.9167,,2.9375,3.9167,2.35,1.5667,1.175,1.0658,narrow_decisive,medium,"peak lift=3.92 at early cutoffs, decays to 2.25; weighted=1.07"
1,cue_label,lepton_family,10,11.75,11.75,11.75,9.7917,7.05,5.4833,4.7,2.7345,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=2.73
1,cue_label,mass_plus_daughter_a,30,1.9583,,,1.9583,1.175,1.5667,1.175,1.1219,narrow_decisive,low,lift>1.5 at 2/4 cutoffs but weighted lift weak (1.12)
1,cue_label,muon_family,50,4.7,,,,4.7,3.1333,3.1333,1.6081,stable,high,lift>1.5 at 3/3 cutoffs; weighted lift=1.61
1,cue_label,n_to_p_plus_z_plus1,50,2.35,,,,2.35,1.5667,1.175,1.0797,narrow_decisive,low,lift>1.5 at 2/3 cutoffs but weighted lift weak (1.08)
1,cue_label,neutron_to_proton,20,2.35,,2.35,1.5667,0.94,1.2533,0.94,1.0097,narrow_decisive,medium,"peak lift=2.35 at early cutoffs, decays to 1.17; weighted=1.01"
1,cue_label,z_plus1_with_antineutrino,50,4.7,,,3.9167,4.7,3.1333,2.9375,1.739,stable,high,lift>1.5 at 4/4 cutoffs; weighted lift=1.74
1,cue_type,antineutrino_emitted,75,1.88,,,,,1.88,1.88,1.391,unstable,medium,max lift=1.88 but drops below 1.0 at top-50
1,cue_type,emitted_charge_minus1,10,3.9167,3.9167,1.9583,1.3056,1.5667,2.0889,2.35,1.4492,stable,high,lift>1.5 at 5/6 cutoffs; weighted lift=1.45
1,cue_type,emitted_charge_plus2,50,1.5667,,,,1.5667,1.0444,1.5667,1.1219,narrow_decisive,low,lift>1.5 at 2/3 cutoffs but weighted lift weak (1.12)
1,cue_type,emitted_mass_negligible,75,2.35,,,1.9583,1.175,2.35,2.35,1.5567,stable,high,lift>1.5 at 3/4 cutoffs; weighted lift=1.56
1,difficulty,medium,20,2.35,1.9583,2.35,2.35,1.9583,1.6711,1.5275,1.2906,stable,medium,lift>1.2 at 6/6 cutoffs; weighted lift=1.29
1,evidence_completeness,combination,10,1.9583,1.9583,0.9792,0.8704,0.6528,0.6963,0.7181,1.0206,unstable,medium,max lift=1.96 but drops below 1.0 at top-50
1,inference_steps,3,20,3.1333,2.6111,3.1333,2.7852,2.1933,1.6711,1.41,,narrow_decisive,low,lift>1.5 at 5/6 cutoffs but weighted lift weak (N/A)
1,inference_steps,4,50,1.88,,,,1.88,1.6711,1.5667,,narrow_decisive,low,lift>1.5 at 3/3 cutoffs but weighted lift weak (N/A)
1,inference_steps,5,10,2.7647,2.7647,1.3824,0.9216,1.1059,1.4745,1.3824,,narrow_decisive,medium,"peak lift=2.76 at early cutoffs, decays to 1.22; weighted=N/A"
1,keyword_free,False,20,2.9375,2.35,2.9375,2.7417,2.35,1.7233,1.645,,narrow_decisive,low,lift>1.5 at 6/6 cutoffs but weighted lift weak (N/A)
1,level,3,20,3.2313,2.35,3.2313,3.1333,2.82,2.1933,1.88,1.3546,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.35
1,physics_concept,beta_decay,10,1.406,1.406,1.3056,1.339,1.3658,1.2587,1.3256,1.1645,stable,medium,lift>1.2 at 6/6 cutoffs; weighted lift=1.16
2,correct_answer,beta,10,1.6068,1.6068,1.5064,1.339,1.406,1.2051,1.2654,1.0885,narrow_decisive,low,lift>1.5 at 2/6 cutoffs but weighted lift weak (1.09)
2,cue_label,charge_plus_z_change,10,5.875,5.875,2.9375,1.9583,2.35,1.5667,2.35,1.4657,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.47
2,cue_label,daughter_a_minus4,100,1.88,,,,0.94,1.2533,1.88,1.1544,unstable,medium,max lift=1.88 but drops below 1.0 at top-50
2,cue_label,daughter_a_unchanged,100,2.7417,,1.9583,2.6111,2.35,1.5667,2.7417,1.5182,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.52
2,cue_label,daughter_n_minus1,10,11.75,11.75,5.875,3.9167,2.35,1.5667,1.175,1.4656,stable,high,lift>1.5 at 5/6 cutoffs; weighted lift=1.47
2,cue_label,daughter_z_and_a_alpha,100,1.88,,,1.5667,0.94,1.2533,1.88,1.1184,stable,medium,lift>1.2 at 3/4 cutoffs; weighted lift=1.12
2,cue_label,daughter_z_minus2,75,2.0889,,,,0.7833,2.0889,1.5667,1.0825,narrow_decisive,low,lift>1.5 at 2/3 cutoffs but weighted lift weak (1.08)
2,cue_label,daughter_z_plus1,10,3.9167,3.9167,3.9167,2.6111,1.5667,1.0444,0.7833,0.947,narrow_decisive,medium,"peak lift=3.92 at early cutoffs, decays to 1.50; weighted=0.95"
2,cue_label,emitted_2protons,30,1.9583,,,1.9583,1.175,0.7833,0.5875,0.7891,absent,medium,"max lift=1.96, weighted=0.79"
2,cue_label,emitted_charge_minus1,30,2.6111,,,2.6111,1.5667,2.0889,1.9583,1.1124,stable,medium,lift>1.2 at 4/4 cutoffs; weighted lift=1.11
2,cue_label,emitted_charge_plus2,50,1.5667,,,,1.5667,1.0444,0.7833,1.2929,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.29
2,cue_label,emitted_mass4,20,3.9167,,3.9167,2.6111,1.5667,1.0444,0.7833,1.0674,narrow_decisive,medium,"peak lift=3.92 at early cutoffs, decays to 1.50; weighted=1.07"
2,cue_label,emitted_mass_negligible,10,5.875,5.875,2.9375,1.9583,3.525,2.35,1.7625,1.7813,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.78
2,cue_label,full_beta_process_spec,50,2.35,,,,2.35,1.5667,1.175,0.9583,narrow_decisive,low,lift>1.5 at 2/3 cutoffs but weighted lift weak (0.96)
2,cue_label,heavy_nuclear_fragment,10,7.8333,7.8333,3.9167,2.6111,3.1333,2.0889,1.5667,1.7287,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.73
2,cue_label,n_to_p_with_antineutrino,50,3.525,,2.9375,1.9583,3.525,2.35,1.7625,1.4995,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.50
2,cue_label,narrative_ejection,100,1.5667,,,,,1.0444,1.5667,1.0825,unstable,medium,max lift=1.57 but drops below 1.0 at top-50
2,cue_label,neutron_to_proton,100,1.41,,,,,1.2533,1.41,1.1364,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.14
2,cue_label,not_nuclear_fragment,30,2.6111,,,2.6111,1.5667,1.0444,1.5667,1.1124,stable,medium,lift>1.2 at 3/4 cutoffs; weighted lift=1.11
2,cue_label,z_plus1_with_antineutrino,10,11.75,11.75,5.875,5.875,3.525,3.9167,2.9375,1.8038,stable,high,lift>1.5 at 6/6 cutoffs; weighted lift=1.80
2,cue_type,daughter_a_minus4,100,1.88,,,,0.94,1.2533,1.88,1.1544,unstable,medium,max lift=1.88 but drops below 1.0 at top-50
2,cue_type,daughter_a_unchanged,100,2.7417,,1.9583,2.6111,2.35,1.5667,2.7417,1.5182,stable,high,lift>1.5 at 5/5 cutoffs; weighted lift=1.52
2,cue_type,daughter_n_minus1,10,11.75,11.75,5.875,3.9167,2.35,1.5667,1.175,1.4656,stable,high,lift>1.5 at 5/6 cutoffs; weighted lift=1.47
2,cue_type,daughter_z_minus2,75,2.0889,,,,0.7833,2.0889,1.5667,1.0825,narrow_decisive,low,lift>1.5 at 2/3 cutoffs but weighted lift weak (1.08)
2,cue_type,daughter_z_plus1,10,3.9167,3.9167,3.9167,2.6111,1.5667,1.0444,0.7833,0.947,narrow_decisive,medium,"peak lift=3.92 at early cutoffs, decays to 1.50; weighted=0.95"
2,cue_type,emitted_2protons,30,1.9583,,,1.9583,1.175,0.7833,0.5875,0.7891,absent,medium,"max lift=1.96, weighted=0.79"
2,cue_type,emitted_charge_minus1,30,2.6111,,,2.6111,1.5667,2.0889,1.9583,1.1124,stable,medium,lift>1.2 at 4/4 cutoffs; weighted lift=1.11
2,cue_type,emitted_charge_plus2,50,1.5667,,,,1.5667,1.0444,0.7833,1.2929,narrow_decisive,low,moderate lift at limited cutoffs; weighted=1.29
