cluster_id,top_n,metadata_field,metadata_value,observed_count,expected_count,lift,log_odds,pval_fisher
9,30,correct_answer,alpha,4,15.064,0.266,-1.981,1.0
9,30,difficulty,easy,24,19.532,1.229,0.807,0.0541
9,30,difficulty,medium,5,7.66,0.653,-0.5705,0.9198
9,30,difficulty,hard,1,2.809,0.356,-1.1446,0.9526
9,30,inference_steps,2,21,13.277,1.582,1.1496,0.003
9,30,inference_steps,1,4,8.936,0.448,-1.0674,0.9918
9,30,inference_steps,3,4,5.745,0.696,-0.4569,0.8615
9,30,inference_steps,4,1,0.957,1.044,0.0481,0.6339
10,10,level,2,4,3.702,1.08,0.1286,0.5415
10,10,level,1,2,3.404,0.588,-0.7385,0.9064
10,10,level,3,2,1.702,1.175,0.2024,0.5297
10,10,level,AUX,2,1.191,1.679,0.6311,0.3387
10,10,cue_label,daughter_a_unchanged,1,0.255,3.917,1.5119,0.2299
10,10,cue_label,not_nuclear_fragment,1,0.128,7.833,2.3136,0.1217
10,10,cue_label,electron_equivalence,1,0.17,5.875,1.9728,0.1592
10,10,cue_label,z_plus1_with_antineutrino,1,0.17,5.875,1.9728,0.1592
10,10,cue_label,neutron_to_proton,1,0.213,4.7,1.717,0.1952
10,10,relation_type,z_plus1_with_antineutrino,1,0.17,5.875,1.9728,0.1592
10,10,relation_type,neutron_to_proton,1,0.213,4.7,1.717,0.1952
10,10,latent_state_target,beta,10,4.979,2.009,,0.0008
10,10,correct_answer,beta,10,4.979,2.009,,0.0008
10,10,difficulty,easy,5,6.511,0.768,-0.6382,0.9087
10,10,difficulty,medium,4,2.553,1.567,0.6816,0.2349
10,10,difficulty,hard,1,0.936,1.068,0.0747,0.6295
10,10,inference_steps,2,5,4.426,1.13,0.2359,0.4762
10,10,inference_steps,1,2,2.979,0.671,-0.539,0.8502
10,10,inference_steps,3,2,1.915,1.044,0.0553,0.6004
10,10,inference_steps,5,1,0.362,2.765,1.126,0.3107
10,20,level,1,7,6.809,1.028,0.0443,0.5496
10,20,level,2,7,7.404,0.945,-0.0916,0.6593
10,20,level,3,3,3.404,0.881,-0.1568,0.6919
10,20,level,AUX,3,2.383,1.259,0.279,0.4337
10,20,cue_label,daughter_a_unchanged,3,0.511,5.875,2.1572,0.0114
10,20,cue_label,z_plus1_with_antineutrino,3,0.34,8.812,2.754,0.0032
10,20,cue_label,not_nuclear_fragment,2,0.255,7.833,2.5168,0.0233
10,20,cue_label,electron_equivalence,1,0.34,2.938,1.2032,0.2957
10,20,cue_label,neutron_to_proton,1,0.426,2.35,0.9474,0.3554
10,20,cue_label,charge_plus_a_unchanged,1,0.255,3.917,1.5442,0.2308
10,20,cue_label,daughter_z_plus1,1,0.511,1.958,0.7422,0.4103
10,20,relation_type,z_plus1_with_antineutrino,3,0.34,8.812,2.754,0.0032
10,20,relation_type,neutron_to_proton,1,0.426,2.35,0.9474,0.3554
10,20,relation_type,charge_plus_a_unchanged,1,0.255,3.917,1.5442,0.2308
10,20,latent_state_target,beta,20,9.957,2.009,,0.0
10,20,correct_answer,beta,20,9.957,2.009,,0.0
10,20,difficulty,easy,11,13.021,0.845,-0.4429,0.8853
10,20,difficulty,medium,7,5.106,1.371,0.4737,0.2271
10,20,difficulty,hard,2,1.872,1.068,0.0764,0.5758
10,20,inference_steps,2,9,8.851,1.017,0.0315,0.5607
10,20,inference_steps,1,6,5.957,1.007,0.0106,0.5782
10,20,inference_steps,3,3,3.83,0.783,-0.3061,0.7724
10,20,inference_steps,5,2,0.723,2.765,1.1701,0.1596
10,30,level,1,11,10.213,1.077,0.1228,0.4473
10,30,level,2,11,11.106,0.99,-0.0163,0.5879
10,30,level,3,4,5.106,0.783,-0.3054,0.7847
10,30,level,AUX,4,3.574,1.119,0.138,0.4905
10,30,cue_label,z_plus1_with_antineutrino,5,0.511,9.792,3.3719,0.0
10,30,cue_label,daughter_a_unchanged,3,0.766,3.917,1.6717,0.0349
10,30,cue_label,not_nuclear_fragment,2,0.383,5.222,2.0523,0.0504
10,30,cue_label,z_plus1_a_unchanged,2,0.638,3.133,1.3499,0.1288
10,30,cue_label,daughter_z_plus1,2,0.766,2.611,1.1221,0.1746
10,30,cue_label,neutron_to_proton,1,0.638,1.567,0.5016,0.4863
10,30,cue_label,electron_equivalence,1,0.511,1.958,0.7575,0.4124
10,30,cue_label,charge_plus_a_unchanged,1,0.383,2.611,1.0986,0.3283
10,30,cue_label,emitted_charge_minus1,1,0.766,1.306,0.2963,0.5512
10,30,relation_type,z_plus1_with_antineutrino,5,0.511,9.792,3.3719,0.0
10,30,relation_type,z_plus1_a_unchanged,2,0.638,3.133,1.3499,0.1288
10,30,relation_type,neutron_to_proton,1,0.638,1.567,0.5016,0.4863
10,30,relation_type,charge_plus_a_unchanged,1,0.383,2.611,1.0986,0.3283
10,30,latent_state_target,beta,29,14.936,1.942,3.5039,0.0
10,30,latent_state_target,alpha,1,15.064,0.066,-3.5039,1.0
10,30,correct_answer,beta,29,14.936,1.942,3.5039,0.0
10,30,correct_answer,alpha,1,15.064,0.066,-3.5039,1.0
10,30,difficulty,easy,17,19.532,0.87,-0.3809,0.8839
10,30,difficulty,medium,11,7.66,1.436,0.5642,0.1117
10,30,difficulty,hard,2,2.809,0.712,-0.3903,0.7949
10,30,inference_steps,2,15,13.277,1.13,0.2467,0.3196
10,30,inference_steps,1,9,8.936,1.007,0.0108,0.5618
10,30,inference_steps,3,4,5.745,0.696,-0.4569,0.8615
