cluster_id,metadata_field,metadata_value,weighted_mass,weighted_fraction,global_fraction,weighted_lift,weighted_log_odds,weighted_rank_within_field
10,cue_type,daughter_z_minus2,1.3375,0.01644,0.02553,0.644,-0.44,9
10,cue_type,emitted_mass_negligible,1.075,0.01322,0.01702,0.7765,-0.253,7
10,cue_type,daughter_a_minus4,1.0375,0.01276,0.02128,0.5995,-0.5116,10
10,cue_type,emitted_charge_plus2,2.125,0.02613,0.02553,1.0233,0.023,4
10,physics_concept,beta_decay,52.8064,0.64923,0.49787,1.304,0.2654,1
10,physics_concept,alpha_decay,28.5311,0.35077,0.50213,0.6986,-0.3587,2
10,keyword_free,False,5.8625,0.07208,0.08511,0.8469,-0.1662,2
10,keyword_free,True,75.475,0.92792,0.91489,1.0142,0.0141,1
10,keyword_free,False,0.0,0.0,0.0,,0.0,
10,keyword_free,True,0.0,0.0,0.0,,0.0,
10,evidence_completeness,single,66.5687,0.81843,0.81277,1.007,0.0069,1
10,evidence_completeness,combination,12.4312,0.15283,0.15319,0.9977,-0.0023,2
10,evidence_completeness,full,2.3376,0.02874,0.03404,0.8442,-0.1693,3
11,correct_answer,beta,71.2093,0.46404,0.49787,0.9321,-0.0704,2
11,correct_answer,alpha,82.2446,0.53596,0.50213,1.0674,0.0652,1
11,level,2,48.416,0.31551,0.37021,0.8522,-0.1599,4
11,level,3,31.5218,0.20542,0.17021,1.2068,0.188,1
11,level,AUX,16.7751,0.10932,0.11915,0.9175,-0.0861,3
11,level,1,56.741,0.36976,0.34043,1.0862,0.0827,2
11,cue_label,z_plus1_a_unchanged,3.1562,0.02057,0.02128,0.9667,-0.0339,22
11,cue_label,emitted_2neutrons,2.9658,0.01933,0.01702,1.1355,0.127,12
11,cue_label,emitted_charge_minus1,4.4188,0.0288,0.02553,1.1278,0.1203,14
11,cue_label,n_to_p_with_antineutrino,1.45,0.00945,0.01702,0.5551,-0.5885,34
11,cue_label,muon_family,2.0967,0.01366,0.01277,1.0703,0.0679,18
11,cue_label,emitted_mass4,4.7125,0.03071,0.02553,1.2028,0.1846,8
11,cue_label,composition_plus_daughter,1.6093,0.01049,0.01702,0.6161,-0.4843,33
11,cue_label,emitted_2protons,3.3,0.0215,0.01702,1.2634,0.2338,7
