cluster_id,n_features,min_layer,max_layer,layer_span,mean_abs_cosine_within,mean_signed_cosine_within,mean_coimportance_within,mean_residual_similarity_within,mean_feature_to_centroid_cosine
0,5,10,10,0,0.997,0.9969,0.9273,0.9987,0.9988
1,8,11,22,11,0.9022,0.555,0.5472,0.8167,0.9562
2,5,24,24,0,0.9965,0.9964,0.9273,0.9988,0.9986
3,9,13,25,12,0.8033,0.7129,0.3843,0.8831,0.9084
4,6,14,20,6,0.8935,0.7621,0.6773,0.8944,0.9546
5,10,12,18,6,0.7575,0.5257,0.2524,0.4669,0.8842
6,4,19,19,0,0.9772,0.9742,0.4866,0.9896,0.9914
7,6,21,21,0,0.981,0.9793,0.6357,0.9916,0.9921
