cluster_id,layer,n,iia_trained,iia_rand,delta_orig_abs,active_tr,delta_tr_patched_abs,delta_shift,delta_ctrl
0,10,269,0.01858736059479554,0.011152416356877323,1.2019052044609666,0.8505576297253038,1.0155669144981412,0.24326208178438663,0.007434944237918217
1,11,269,0.0037174721189591076,0.0037174721189591076,1.2019052044609666,0.9990706319702602,1.2685873605947955,0.11454460966542751,0.0
2,12,269,0.0,0.9962825278810409,1.2019052044609666,0.9814126405130975,1.2530204460966543,0.1071096654275093,-0.9962825278810409
3,13,269,0.026022304832713755,0.9962825278810409,1.2019052044609666,1.0,0.9118262081784386,0.30309014869888473,-0.9702602230483272
4,22,269,0.0,0.4721189591078067,1.2019052044609666,0.9881040899283824,1.505924721189591,0.3374767657992565,-0.4721189591078067
4,23,269,0.0037174721189591076,0.9888475836431226,1.2019052044609666,0.9769516742362409,1.877904275092937,0.6904042750929368,-0.9851301115241635
5,15,269,0.0037174721189591076,0.929368029739777,1.2019052044609666,0.8215613489257358,1.1266263940520447,0.15195167286245354,-0.9256505576208178
6,16,269,0.0037174721189591076,0.9851301115241635,1.2019052044609666,0.8840148768017283,1.4463289962825279,0.2599907063197026,-0.9814126394052044
7,24,269,0.0037174721189591076,0.007434944237918215,1.2019052044609666,0.9353159889855792,1.7767193308550187,0.5973513011152416,-0.0037174721189591076
7,25,269,0.0037174721189591076,0.01858736059479554,1.2019052044609666,0.9888475843078585,1.4428438661710037,0.2871747211895911,-0.014869888475836432
8,18,269,0.055762081784386616,0.9814126394052045,1.2019052044609666,0.7695167286245354,0.8197026022304833,0.4254182156133829,-0.9256505576208179
9,14,269,0.0,0.9182156133828996,1.2019052044609666,0.9702602230483272,1.2410548327137547,0.12372211895910781,-0.9182156133828996
9,17,269,0.0,0.7881040892193308,1.2019052044609666,0.9955390337231435,1.1633364312267658,0.16171003717472118,-0.7881040892193308
10,20,269,0.0,0.03345724907063197,1.2019052044609666,0.9873605955489063,1.2490706319702602,0.12871747211895912,-0.03345724907063197
11,19,269,0.007434944237918215,0.6394052044609665,1.2019052044609666,0.9918215618257629,1.015218401486989,0.2545306691449814,-0.6319702602230483
11,21,269,0.0,0.8661710037174721,1.2019052044609666,0.8899628318375371,1.639289033457249,0.4427276951672863,-0.8661710037174721
