experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
steering,2,17,"[111317, 39571, 42201]",6.90625,6.9375,0.03125,0.03125,0.004524886871276182,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,3,17,"[111317, 39571, 42201]",10.375,9.4375,-0.9375,0.9375,0.09036144569603716,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,4,17,"[111317, 39571, 42201]",10.6875,10.5625,-0.125,0.125,0.011695906421805,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,6,17,"[111317, 39571, 42201]",4.8125,5.875,1.0625,1.0625,0.22077922032045877,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,7,17,"[111317, 39571, 42201]",2.75,5.75,3.0,3.0,1.0909090869421487,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,8,17,"[111317, 39571, 42201]",9.625,9.5625,-0.0625,0.0625,0.006493506486759993,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,9,17,"[111317, 39571, 42201]",6.9375,6.375,-0.5625,0.5625,0.08108108096420745,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,11,17,"[111317, 39571, 42201]",6.75,7.375,0.625,0.625,0.09259259245541838,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,13,17,"[111317, 39571, 42201]",8.6875,9.0,0.3125,0.3125,0.035971222980177006,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,16,17,"[111317, 39571, 42201]",0.25,0.5,0.25,0.25,0.9999999600000016,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,17,17,"[111317, 39571, 42201]",7.96875,8.125,0.15625,0.15625,0.01960784311264898,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,19,17,"[111317, 39571, 42201]",8.5,8.625,0.125,0.125,0.014705882335640137,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,2,18,"[48134, 160254, 149556]",6.90625,7.84375,0.9375,0.9375,0.13574660613828546,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,3,18,"[48134, 160254, 149556]",10.375,10.6875,0.3125,0.3125,0.030120481898679052,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,4,18,"[48134, 160254, 149556]",10.6875,9.75,-0.9375,0.9375,0.08771929816353749,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,6,18,"[48134, 160254, 149556]",4.8125,5.9375,1.125,1.125,0.23376623328048576,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,7,18,"[48134, 160254, 149556]",2.75,3.765625,1.015625,1.015625,0.36931818047520665,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,8,18,"[48134, 160254, 149556]",9.625,7.0,-2.625,2.625,0.2727272724439197,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,9,18,"[48134, 160254, 149556]",6.9375,5.25,-1.6875,1.6875,0.24324324289262236,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,11,18,"[48134, 160254, 149556]",6.75,6.5,-0.25,0.25,0.03703703698216735,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,13,18,"[48134, 160254, 149556]",8.6875,7.625,-1.0625,1.0625,0.12230215813260183,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,16,18,"[48134, 160254, 149556]",0.25,-1.75,-2.0,2.0,7.999999680000013,True,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,17,18,"[48134, 160254, 149556]",7.96875,4.75,-3.21875,3.21875,0.403921568120569,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,19,18,"[48134, 160254, 149556]",8.5,5.75,-2.75,2.75,0.32352941138408303,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,2,19,"[25077, 81443, 126231]",6.90625,3.671875,-3.234375,3.234375,0.46832579117708484,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,3,19,"[25077, 81443, 126231]",10.375,6.5625,-3.8125,3.8125,0.3674698791638844,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,4,19,"[25077, 81443, 126231]",10.6875,5.125,-5.5625,5.5625,0.5204678357703224,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,6,19,"[25077, 81443, 126231]",4.8125,3.609375,-1.203125,1.203125,0.24999999948051949,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,7,19,"[25077, 81443, 126231]",2.75,1.265625,-1.484375,1.484375,0.5397727253099174,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,8,19,"[25077, 81443, 126231]",9.625,5.125,-4.5,4.5,0.46753246704671947,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
