experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
patching,18,16,16.0,0.818359375,0.25,1.3180052572250676,-0.771484375,-0.25,0.17458333296088885,4.6875,3.916015625,0.0625,1
patching,19,16,16.0,0.54296875,0.25,0.9308706581967586,-0.30859375,-0.125,0.16087962915294923,3.375,3.06640625,0.0625,1
steering,0,16,16.0,0.39453125,0.28125,0.4022843301592378,0.01953125,0.0,0.13151041622829857,3.0,3.01953125,0.0,0
steering,1,16,16.0,1.0859375,0.40625,1.439016410318752,-0.1640625,0.03125,0.3948863622004133,2.75,2.5859375,0.125,2
steering,2,16,16.0,1.46875,0.78125,1.9604155596879624,-0.9140625,-0.4375,0.29746835382791215,4.9375,4.0234375,0.125,2
steering,3,16,16.0,0.4453125,0.34375,0.47427301824300877,-0.1171875,-0.09375,0.13970588191464822,3.1875,3.0703125,0.0,0
steering,4,16,16.0,0.81640625,0.3125,1.4295010693566015,-0.45703125,-0.03125,0.2041015619897461,4.0,3.54296875,0.0625,1
steering,5,16,16.0,0.91796875,0.625,0.7840263169211861,0.4609375,0.28125,0.17485119014314054,5.25,5.7109375,0.0,0
steering,6,16,16.0,0.5078125,0.3125,0.5813395988290034,-0.3359375,-0.125,1.6249999480000017,0.3125,-0.0234375,0.375,6
steering,7,16,16.0,1.064453125,0.328125,1.930244099888988,-0.697265625,-0.046875,0.17290609108969568,6.15625,5.458984375,0.0625,1
steering,8,16,16.0,0.83203125,0.28125,1.564368674244768,-0.63671875,-0.15625,0.20480769180355027,4.0625,3.42578125,0.125,2
steering,9,16,16.0,0.828125,0.1875,1.6959664157445258,-0.578125,0.0,0.22457627057742022,3.6875,3.109375,0.125,2
steering,10,16,16.0,1.0703125,0.25,2.1078814156636043,-0.8515625,-0.21875,0.2518382347015571,4.25,3.3984375,0.125,2
steering,11,16,16.0,0.7109375,0.34375,0.9337076072482934,-0.1875,0.15625,0.277439023307555,2.5625,2.375,0.125,2
steering,12,16,16.0,1.2265625,0.6875,1.510876366826,-0.34375,-0.03125,0.33836206803210467,3.625,3.28125,0.125,2
steering,13,16,16.0,0.796875,0.1875,1.5129648046137756,-0.65234375,-0.09375,0.26842105172742375,2.96875,2.31640625,0.125,2
steering,14,16,16.0,0.88671875,0.375,1.4484130593946605,-0.15625,0.25,0.18916666626311107,4.6875,4.53125,0.0625,1
steering,15,16,16.0,1.025390625,0.234375,2.1911344435564843,-0.986328125,-0.234375,0.21874999953333327,4.6875,3.701171875,0.125,2
steering,16,16,16.0,0.67578125,0.1875,1.1750928044024154,-0.41015625,0.0,0.200231480888203,3.375,2.96484375,0.0625,1
steering,17,16,16.0,0.88671875,0.375,1.4484130593946605,-0.15625,0.25,0.18916666626311107,4.6875,4.53125,0.0625,1
steering,18,16,16.0,0.5859375,0.40625,0.5505087609051588,-0.0390625,0.0625,0.13586956490233143,4.3125,4.2734375,0.0,0
steering,19,16,16.0,0.62890625,0.375,0.5479453810600103,-0.06640625,-0.1875,0.33541666487777777,1.875,1.80859375,0.0,0
