experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
ablation_zero,10,20,20.0,0.4609375,0.25,0.48770607570840735,0.2421875,0.1875,0.1673276451618332,3.71875,3.9609375,0.0,0
ablation_zero,11,20,20.0,0.5515625,0.375,0.5145173509618403,-0.3203125,-0.34375,0.3253350809359475,3.71875,3.3984375,0.05,1
ablation_zero,12,20,20.0,0.3734375,0.1875,0.4814053705107359,0.0765625,-0.15625,0.12398134942790429,3.71875,3.7953125,0.0,0
ablation_zero,13,20,20.0,0.221875,0.15625,0.19891254525015442,-0.184375,-0.15625,0.15023641989160313,3.71875,3.534375,0.05,1
ablation_zero,14,20,20.0,0.203125,0.171875,0.1552600217123045,-0.075,-0.0625,0.0555118890612629,3.71875,3.64375,0.0,0
ablation_zero,15,20,20.0,0.4703125,0.28125,0.4419969775066341,-0.2203125,-0.25,0.3499915502088265,3.71875,3.4984375,0.05,1
ablation_zero,16,20,20.0,0.2390625,0.140625,0.21152908029207362,0.0203125,0.078125,0.08472728356649152,3.71875,3.7390625,0.0,0
ablation_zero,17,20,20.0,0.2875,0.1875,0.34748272391739515,0.11875,0.0,0.08988437984929928,3.71875,3.8375,0.0,0
ablation_zero,18,20,20.0,0.5953125,0.484375,0.8346225977988967,0.4671875,0.359375,0.17172145037667863,3.71875,4.1859375,0.0,0
ablation_zero,19,20,20.0,0.2625,0.203125,0.25717499929650606,-0.00625,-0.09375,0.09394573356807148,3.71875,3.7125,0.0,0
ablation_zero,20,20,20.0,0.284375,0.1875,0.24956788312896688,0.046875,0.03125,0.09966596152776645,3.71875,3.765625,0.0,0
ablation_zero,21,20,20.0,0.2625,0.140625,0.2638826368911596,0.11875,0.03125,0.09879300476122008,3.71875,3.8375,0.0,0
ablation_zero,22,20,20.0,0.7765625,0.625,0.5703288344812925,-0.3359375,-0.28125,0.2723832019315712,3.71875,3.3828125,0.05,1
ablation_zero,23,20,20.0,0.3890625,0.421875,0.3331152486970143,0.2109375,0.125,0.11639120432948151,3.71875,3.9296875,0.0,0
ablation_zero,24,20,20.0,3.0703125,3.125,2.243271073905188,-2.7578125,-2.53125,0.8901433818034292,3.71875,0.9609375,0.4,8
