concept,layer,c,ratio_med,spearman,ols_slope,n
B1_alpha_beta,16,0.5,0.995826472709143,0.9994100191470835,1.0124003362151603,88
B1_alpha_beta,16,1.0,0.9946249302083889,0.998529450652029,1.0238335172088984,88
B1_alpha_beta,16,2.0,0.9884093484878028,0.9951304562611185,1.0464029770499002,88
B1_alpha_beta,16,4.0,0.9722548586367634,0.9838239567846184,1.0876448736791624,88
B1_alpha_beta,16,8.0,0.9242776054724371,0.9556809876826757,1.150273234698093,88
B1_alpha_beta,16,16.0,0.859361290797809,0.8983912013944284,1.1730566240635079,88
B1_alpha_beta,16,32.0,0.6831277888213012,0.8183827479337743,0.9994703044820802,88
B1_alpha_beta,22,0.5,1.0261347890596528,0.9423022097483515,1.1613142005263717,105
B1_alpha_beta,22,1.0,1.0533910807581106,0.8686754544770158,1.3298600228136375,105
B1_alpha_beta,22,2.0,1.1140585668550067,0.8343709017886392,1.6775020918539032,105
B1_alpha_beta,22,4.0,1.2584331928160892,0.7163731929040513,1.869716006916694,105
B1_alpha_beta,22,8.0,3.9427278971684205,0.44362659977062796,1.0987029356719464,105
B1_alpha_beta,22,16.0,6.453603232535695,-0.1356631539679949,-0.16023558477624777,105
B1_alpha_beta,22,32.0,3.8702796549178697,-0.3460001347762364,-0.12380285841053237,105
B1_alpha_beta,23,0.5,1.0423106320035727,0.9752876806314708,1.2201045881353283,106
B1_alpha_beta,23,1.0,1.0960948651335043,0.9474970274802343,1.4941525811458187,106
B1_alpha_beta,23,2.0,1.2432882222998503,0.9222355454460973,2.0796739943482283,106
B1_alpha_beta,23,4.0,2.2938620027901964,0.7323361077056327,1.960836010859482,106
B1_alpha_beta,23,8.0,7.065683884371497,0.03618931500821812,0.0013255478466900725,106
B1_alpha_beta,23,16.0,5.214108234113885,-0.22259224925213483,-0.1274755021569667,106
B1_alpha_beta,23,32.0,3.037299628127749,-0.3319713427824725,-0.08756636276116365,106
B1_alpha_beta,24,0.5,1.0224430392071275,0.996781856934394,1.2028526366987335,107
B1_alpha_beta,24,1.0,1.0478431490086277,0.9910509172071574,1.4437363679176574,107
B1_alpha_beta,24,2.0,1.1095257778673093,0.9538634860881984,2.049245013789892,107
B1_alpha_beta,24,4.0,1.3450244363441701,0.8324753251306057,2.8390029778988497,107
B1_alpha_beta,24,8.0,3.150604788183543,0.631549557941499,1.76701896527053,107
B1_alpha_beta,24,16.0,4.159134476583196,0.039852073180169985,-0.0440823824426986,107
B1_alpha_beta,24,32.0,2.445640757250401,-0.4332590433791046,-0.11640698264537361,107
B1_alpha_beta,35,0.5,1.0009389822367205,0.9999706104215446,1.0017791982396427,107
B1_alpha_beta,35,1.0,1.0017841992318708,0.9999314243169372,1.0032642859848535,107
B1_alpha_beta,35,2.0,1.0032670699217947,0.9998334590554189,1.00548247116857,107
B1_alpha_beta,35,4.0,1.0052605374589891,0.9996669181108379,1.0067716359702175,107
B1_alpha_beta,35,8.0,1.0048805767185571,0.999039940437121,0.9967482495353591,107
B1_alpha_beta,35,16.0,0.9891838976176731,0.9968455185791117,0.9311241989248518,107
B1_alpha_beta,35,32.0,0.9087222637234351,0.9883519304054782,0.6965854365358334,107
