q,n,n_fam,var_within_margin,sigma_u2,lam_eff,cos_wu_measured,cos_wu_predicted,cos_dmu_u,null_cos_median,null_cos_p95,excess_over_null,null_cos_median_fam,null_cos_p95_fam,excess_over_null_fam,layer,concept
1.0,336,89,10.579928877551541,1.053595003878584,0.0622502124679714,0.07962219486685483,0.01644218158973524,0.278286606406727,0.07962219486685483,0.07962219486685483,0.0,0.07962219486685483,0.07962219486685483,0.0,22,B1_alpha_beta
0.8,269,70,1.9108096786154443,0.5171182907740842,0.035609323486887313,0.11971233672608247,0.01906845937548066,0.2769120037782993,0.07699900969490808,0.09531692724380308,0.04271332703117439,0.07858050977488676,0.0953304572005435,0.041131826951195716,22,B1_alpha_beta
0.6,202,58,1.1184483503847447,0.5251958258939038,0.029248492686828564,0.13403363509691865,0.015345166257693107,0.27554299472730415,0.08172437024412951,0.10928736055562002,0.05230926485278914,0.08193946085125237,0.11145333997627317,0.052094174245666286,22,B1_alpha_beta
0.4,134,48,0.47812215000152125,0.5032521111703431,0.020602875046275095,0.18715641416377266,0.011113094303257786,0.27145183170737747,0.10099568682981275,0.13068904606150336,0.08616072733395991,0.09859012126265783,0.1273729668445367,0.08856629290111483,22,B1_alpha_beta
0.2,67,33,0.119730419103502,0.38104686328731413,0.01556621284392252,0.22730470750528825,0.010884898616908148,0.266452509467814,0.13276772063852227,0.16601003871376332,0.09453698686676598,0.1316877102331487,0.16812766645228086,0.09561699727213954,22,B1_alpha_beta
1.0,336,89,10.579928877551541,5.78951314487731,0.16049956914330624,0.01919282672399258,0.010857100659488854,0.3916354873653462,0.01919282672399258,0.01919282672399258,0.0,0.01919282672399258,0.01919282672399258,0.0,24,B1_alpha_beta
0.8,269,70,1.9108096786154443,1.6635002324234787,0.06702308484912448,0.07611482999294195,0.015691478008856227,0.38945950299900617,0.02320533487879373,0.04928773567383342,0.05290949511414822,0.029252025393114875,0.05595604337824852,0.04686280459982707,24,B1_alpha_beta
0.6,202,58,1.1184483503847447,1.4184195159163115,0.051727493625244814,0.11929302419692864,0.014144766387447931,0.38786361537999714,0.043054171331659855,0.06692979736669788,0.07623885286526878,0.04189392406153044,0.07454436949264849,0.07739910013539819,24,B1_alpha_beta
0.4,134,48,0.47812215000152125,1.0995747616586162,0.03876331337495552,0.18737169713352309,0.013581382346885077,0.38525461207656203,0.06489311213287495,0.10707816144915233,0.12247858500064814,0.06787931712025494,0.1108702267926402,0.11949238001326815,24,B1_alpha_beta
0.2,67,33,0.119730419103502,0.8676959023172106,0.029042916558073943,0.24862290369306572,0.012730497955837843,0.38034062070351105,0.11062720100164347,0.16254038218960318,0.13799570269142225,0.10660932625439333,0.16716029326959522,0.14201357743867238,24,B1_alpha_beta
