concept,layer,c,ratio_med,spearman,ols_slope,n
B1_grammar_number,16,0.5,1.0427101301192343,0.9975990396158463,1.0406221345214308,50
B1_grammar_number,16,1.0,1.0874057127443497,0.9884753901560623,1.0800608090221666,50
B1_grammar_number,16,2.0,1.1805886166308401,0.9563025210084033,1.1495041523732386,50
B1_grammar_number,16,4.0,1.3564480400026142,0.7700840336134455,1.165324161297409,50
B1_grammar_number,16,8.0,1.0203435460961652,0.06487394957983193,0.06245921498676248,50
B1_grammar_number,16,16.0,0.29354823419246134,-0.4077310924369748,-0.3476571482047986,50
B1_grammar_number,16,32.0,0.14742456139844395,-0.2550300120048019,-0.14049133919269505,50
B1_grammar_number,21,0.5,1.0274264738458752,0.9978871548619447,1.0444199808721426,50
B1_grammar_number,21,1.0,1.0554438757174833,0.9937575030012005,1.0851768741636278,50
B1_grammar_number,21,2.0,1.108493729029866,0.9746458583433372,1.1458691277609157,50
B1_grammar_number,21,4.0,1.1932199953047058,0.895126050420168,1.108546372233314,50
B1_grammar_number,21,8.0,1.1076730208230328,0.5450660264105642,0.5294557572970575,50
B1_grammar_number,21,16.0,0.5515798205090021,-0.09339735894357742,-0.09289048032676979,50
B1_grammar_number,21,32.0,0.26033412093138464,0.05008403361344538,0.007381955770139369,50
B1_grammar_number,22,0.5,1.0324774940327721,0.9975990396158463,1.0597087817766828,50
B1_grammar_number,22,1.0,1.0635427328403477,0.9903961584633854,1.114283153222576,50
B1_grammar_number,22,2.0,1.1157231849367322,0.9632172869147659,1.1833653124356394,50
B1_grammar_number,22,4.0,1.136574192732687,0.8354861944777912,1.0524678446666427,50
B1_grammar_number,22,8.0,0.9666978562273907,0.5799279711884754,0.5829964162716793,50
B1_grammar_number,22,16.0,0.6182192174922232,0.3342617046818727,0.23559535154049296,50
B1_grammar_number,22,32.0,0.3423638913912438,0.27836734693877546,0.09837808281150974,50
B1_grammar_number,23,0.5,1.0452003865938344,0.9923169267707082,1.0759448634332205,50
B1_grammar_number,23,1.0,1.0843199683613438,0.970516206482593,1.1120452908419851,50
B1_grammar_number,23,2.0,1.119927635520327,0.8855222088835534,1.0119652028770079,50
B1_grammar_number,23,4.0,0.9808162461269853,0.6811524609843937,0.6458109463584757,50
B1_grammar_number,23,8.0,0.6630426533987339,0.5811764705882353,0.35714691856119996,50
B1_grammar_number,23,16.0,0.39279319084987946,0.5655222088835534,0.20790300548357865,50
B1_grammar_number,23,32.0,0.22287817969070745,0.5078031212484994,0.10964929627908795,50
B1_grammar_number,24,0.5,1.0316949234398791,0.9959663865546219,1.1013485881780427,50
B1_grammar_number,24,1.0,1.050689482721324,0.9804081632653061,1.1371031006313523,50
B1_grammar_number,24,2.0,1.0192121397976515,0.9045378151260504,0.9650678580531863,50
B1_grammar_number,24,4.0,0.8012238465178498,0.7736374549819928,0.5667560406457149,50
B1_grammar_number,24,8.0,0.5191745644110324,0.6748139255702281,0.2820662057274934,50
B1_grammar_number,24,16.0,0.3029158962174183,0.6228571428571428,0.12753504654279302,50
B1_grammar_number,24,32.0,0.17853410114010518,0.6311164465786315,0.06099497563631494,50
B1_grammar_number,35,0.5,1.0010939493794653,0.9999999999999999,1.0038016445276856,50
B1_grammar_number,35,1.0,1.0014783747719291,0.9999999999999999,1.0054404054259083,50
B1_grammar_number,35,2.0,1.0002229327075818,0.9999039615846338,1.002044084407878,50
B1_grammar_number,35,4.0,0.9896645943935267,0.9985594237695078,0.9700386075273679,50
B1_grammar_number,35,8.0,0.939481673573432,0.9964465786314525,0.8307277492175111,50
B1_grammar_number,35,16.0,0.7855800015349468,0.9875150060024009,0.49121419791358784,50
B1_grammar_number,35,32.0,0.5248318678335853,0.9490036014405762,0.15856810024971243,50
