axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
wres,25,-0.16086,0.54392,0.95894,0.51642,-0.67728,4.00299,-3.45907,0.57213
wres,26,-0.23389,0.64271,0.93971,2.23706,-2.47095,6.51190,-5.86919,0.39716
wres,27,-0.18310,0.57677,0.95313,2.54608,-2.72918,7.82200,-7.24523,0.45353
wres,28,-0.15219,0.53029,0.96120,2.29140,-2.44358,10.38844,-9.85815,0.44190
wres,29,-0.19855,0.59806,0.94907,4.60218,-4.80073,17.67113,-17.07307,0.38698
wres,30,-0.12750,0.48861,0.96760,2.96717,-3.09466,16.98136,-16.49274,0.44599
wres,31,-0.14123,0.51236,0.96405,5.39539,-5.53662,25.58487,-25.07251,0.38268
wres,32,-0.15064,0.52782,0.96160,1.30606,-1.45671,26.02539,-25.49757,0.50669
wres,33,-0.12291,0.48033,0.96879,-2.59414,2.47123,17.32742,-16.84709,0.58237
wres,34,-0.10584,0.44775,0.97318,3.69969,-3.80553,17.26108,-16.81333,0.71815
wres,35,-0.05485,0.32662,0.98619,-2.15076,2.09592,11.64741,-11.32079,0.88819
