axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
wres,25,-0.18339,0.57719,0.95305,-0.02306,-0.16033,2.20640,-1.62921,0.59021
wres,26,-0.28110,0.69511,0.92707,1.12361,-1.40470,4.35269,-3.65759,0.33153
wres,27,-0.21718,0.62225,0.94414,0.30863,-0.52581,4.72942,-4.10717,0.46659
wres,28,-0.18696,0.58220,0.95211,1.22643,-1.41339,5.75789,-5.17569,0.49035
wres,29,-0.26659,0.67979,0.93097,-0.56763,0.30104,14.65676,-13.97697,0.37362
wres,30,-0.15906,0.54113,0.95941,4.02177,-4.18083,3.71426,-3.17312,0.45746
wres,31,-0.16146,0.54484,0.95879,6.08042,-6.24188,15.99479,-15.44996,0.38693
wres,32,-0.18165,0.57473,0.95351,-2.29505,2.11339,18.64465,-18.06993,0.47565
wres,33,-0.13707,0.50532,0.96512,-2.67470,2.53763,6.91975,-6.41442,0.63797
wres,34,-0.11298,0.46174,0.97134,2.51764,-2.63063,13.39260,-12.93086,0.67024
wres,35,-0.06780,0.36194,0.98290,-3.24488,3.17709,7.90313,-7.54119,0.94416
