axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
wres,25,-0.15885,0.54081,0.95946,0.24093,-0.39978,2.51901,-1.97820,0.78266
wres,26,-0.27524,0.68900,0.92864,1.73907,-2.01432,4.49134,-3.80234,0.42386
wres,27,-0.19097,0.58776,0.95106,0.79658,-0.98755,6.59245,-6.00469,0.56846
wres,28,-0.14317,0.51561,0.96354,0.93144,-1.07462,7.86999,-7.35439,0.59241
wres,29,-0.18033,0.57283,0.95385,0.87185,-1.05217,12.77590,-12.20307,0.49915
wres,30,-0.10994,0.45584,0.97213,1.31165,-1.42159,9.30767,-8.85183,0.53770
wres,31,-0.15181,0.52969,0.96130,1.04559,-1.19740,19.89622,-19.36652,0.53528
wres,32,-0.14352,0.51618,0.96345,1.88565,-2.02917,13.82738,-13.31121,0.65095
wres,33,-0.13572,0.50300,0.96548,2.10874,-2.24446,16.23496,-15.73196,0.62358
wres,34,-0.12955,0.49226,0.96707,1.26378,-1.39333,22.61614,-22.12388,0.63269
wres,35,-0.07624,0.38296,0.98076,-3.96772,3.89149,13.35369,-12.97072,0.85653
