group,layer,axis,len_change,rot_mag,cos_before_after,null_rot_mean,null_rot_std,null_len_mean,null_len_std,rot_z,len_z,cos_delta_u_before,cos_delta_u_after
L24_F18943,10,u,0.0011851356830447912,0.003896725131198764,0.9999628067016602,nan,nan,nan,nan,nan,nan,-0.01046158466488123,-0.010514447465538979
L24_F18943,10,delta,0.0,0.0,1.0000001192092896,nan,nan,nan,nan,nan,nan,-0.01046158466488123,-0.010514447465538979
L24_F18943,11,u,0.0011238378938287497,0.00412145908921957,0.9999616146087646,nan,nan,nan,nan,nan,nan,-0.00020299293100833893,-0.00020836293697357178
L24_F18943,11,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.00020299293100833893,-0.00020836293697357178
L24_F18943,12,u,0.0010549582075327635,0.0044670989736914635,0.9999586343765259,nan,nan,nan,nan,nan,nan,0.015576401725411415,0.01562710478901863
L24_F18943,12,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.015576401725411415,0.01562710478901863
L24_F18943,13,u,0.0010502259247004986,0.004751093685626984,0.9999579787254333,nan,nan,nan,nan,nan,nan,0.018374793231487274,0.018417172133922577
L24_F18943,13,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.018374793231487274,0.018417172133922577
L24_F18943,14,u,0.001051211729645729,0.005174627527594566,0.9999569058418274,nan,nan,nan,nan,nan,nan,0.009576584212481976,0.009583554230630398
L24_F18943,14,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.009576584212481976,0.009583554230630398
L24_F18943,15,u,0.001150292344391346,0.005517350044101477,0.9999558925628662,nan,nan,nan,nan,nan,nan,-0.0013419613242149353,-0.0013920352794229984
L24_F18943,15,delta,0.0,0.0,0.9999999403953552,nan,nan,nan,nan,nan,nan,-0.0013419613242149353,-0.0013920352794229984
L24_F18943,16,u,0.001111846067942679,0.006134579889476299,0.9999569654464722,nan,nan,nan,nan,nan,nan,-0.018441542983055115,-0.018384138122200966
L24_F18943,16,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.018441542983055115,-0.018384138122200966
L24_F18943,17,u,0.0011263350024819374,0.006512785796076059,0.999956488609314,nan,nan,nan,nan,nan,nan,-0.010606715455651283,-0.010513033717870712
L24_F18943,17,delta,0.0,0.0,0.9999999403953552,nan,nan,nan,nan,nan,nan,-0.010606715455651283,-0.010513033717870712
L24_F18943,18,u,0.001088597229681909,0.006752073299139738,0.9999563694000244,nan,nan,nan,nan,nan,nan,-0.004359998740255833,-0.004381044767796993
L24_F18943,18,delta,0.0,0.0,1.0000001192092896,nan,nan,nan,nan,nan,nan,-0.004359998740255833,-0.004381044767796993
L24_F18943,19,u,0.001502385945059359,0.006516515742987394,0.9999552965164185,nan,nan,nan,nan,nan,nan,0.010079462081193924,0.010108999907970428
L24_F18943,19,delta,0.0,0.0,0.9999998807907104,nan,nan,nan,nan,nan,nan,0.010079462081193924,0.010108999907970428
L24_F18943,20,u,0.0015192367136478424,0.00637383246794343,0.9999589323997498,nan,nan,nan,nan,nan,nan,0.0063935830257833,0.006377209909260273
L24_F18943,20,delta,0.0,0.0,0.9999997615814209,nan,nan,nan,nan,nan,nan,0.0063935830257833,0.006377209909260273
L24_F18943,21,u,0.0013001271290704608,0.006544169504195452,0.9999593496322632,nan,nan,nan,nan,nan,nan,0.004598756320774555,0.0045008109882473946
L24_F18943,21,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.004598756320774555,0.0045008109882473946
L24_F18943,22,u,0.0006367588066495955,0.006746351718902588,0.9999594688415527,nan,nan,nan,nan,nan,nan,-0.0018243314698338509,-0.0018063290044665337
L24_F18943,22,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.0018243314698338509,-0.0018063290044665337
L24_F18943,23,u,0.00040661098319105804,0.00628246134147048,0.9999584555625916,nan,nan,nan,nan,nan,nan,-0.0007994695333763957,-0.0007490263087674975
L24_F18943,23,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.0007994695333763957,-0.0007490263087674975
L24_F18943,24,u,0.00035854222369380295,0.005675671622157097,0.9999573230743408,nan,nan,nan,nan,nan,nan,0.04956267401576042,0.04872860014438629
L24_F18943,24,delta,-0.006545017473399639,0.11351856589317322,0.9999071955680847,nan,nan,nan,nan,nan,nan,0.04956267401576042,0.04872860014438629
L24_F18943,25,u,0.0008380551589652896,0.0045515489764511585,0.9999666213989258,nan,nan,nan,nan,nan,nan,0.03573793172836304,0.03491193801164627
L24_F18943,25,delta,-0.0072619072161614895,0.13265755772590637,0.9998944997787476,nan,nan,nan,nan,nan,nan,0.03573793172836304,0.03491193801164627
L24_F249,10,u,-0.00756771070882678,0.019712530076503754,0.9990096092224121,nan,nan,nan,nan,nan,nan,-0.01046158466488123,-0.010975217446684837
L24_F249,10,delta,0.0,0.0,1.0000001192092896,nan,nan,nan,nan,nan,nan,-0.01046158466488123,-0.010975217446684837
L24_F249,11,u,-0.008063236251473427,0.020602667704224586,0.9990010261535645,nan,nan,nan,nan,nan,nan,-0.00020299293100833893,-0.000589233823120594
L24_F249,11,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.00020299293100833893,-0.000589233823120594
L24_F249,12,u,-0.007797055412083864,0.02178216353058815,0.998980700969696,nan,nan,nan,nan,nan,nan,0.015576401725411415,0.015197966247797012
L24_F249,12,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.015576401725411415,0.015197966247797012
L24_F249,13,u,-0.007521263789385557,0.023394357413053513,0.9989469051361084,nan,nan,nan,nan,nan,nan,0.018374793231487274,0.01802782528102398
L24_F249,13,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.018374793231487274,0.01802782528102398
L24_F249,14,u,-0.007014152128249407,0.025764377787709236,0.9988995790481567,nan,nan,nan,nan,nan,nan,0.009576584212481976,0.009766479954123497
L24_F249,14,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.009576584212481976,0.009766479954123497
L24_F249,15,u,-0.005960647948086262,0.027458462864160538,0.9988795518875122,nan,nan,nan,nan,nan,nan,-0.0013419613242149353,-0.001654540654271841
L24_F249,15,delta,0.0,0.0,0.9999999403953552,nan,nan,nan,nan,nan,nan,-0.0013419613242149353,-0.001654540654271841
L24_F249,16,u,-0.006394675932824612,0.031024808064103127,0.9988759756088257,nan,nan,nan,nan,nan,nan,-0.018441542983055115,-0.01960882917046547
L24_F249,16,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.018441542983055115,-0.01960882917046547
L24_F249,17,u,-0.007074121385812759,0.03253227099776268,0.9988898038864136,nan,nan,nan,nan,nan,nan,-0.010606715455651283,-0.011990063823759556
L24_F249,17,delta,0.0,0.0,0.9999999403953552,nan,nan,nan,nan,nan,nan,-0.010606715455651283,-0.011990063823759556
L24_F249,18,u,-0.0066062649711966515,0.033631980419158936,0.998895525932312,nan,nan,nan,nan,nan,nan,-0.004359998740255833,-0.005760803818702698
L24_F249,18,delta,0.0,0.0,1.0000001192092896,nan,nan,nan,nan,nan,nan,-0.004359998740255833,-0.005760803818702698
L24_F249,19,u,-0.0074473414570093155,0.032056692987680435,0.9988921880722046,nan,nan,nan,nan,nan,nan,0.010079462081193924,0.007629876025021076
L24_F249,19,delta,0.0,0.0,0.9999998807907104,nan,nan,nan,nan,nan,nan,0.010079462081193924,0.007629876025021076
L24_F249,20,u,-0.008065986447036266,0.031885724514722824,0.9989467859268188,nan,nan,nan,nan,nan,nan,0.0063935830257833,0.003943926654756069
L24_F249,20,delta,0.0,0.0,0.9999997615814209,nan,nan,nan,nan,nan,nan,0.0063935830257833,0.003943926654756069
L24_F249,21,u,-0.007415138650685549,0.03192545846104622,0.9990136623382568,nan,nan,nan,nan,nan,nan,0.004598756320774555,0.002089671790599823
L24_F249,21,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.004598756320774555,0.002089671790599823
L24_F249,22,u,-0.004600259475409985,0.03317632898688316,0.9990071058273315,nan,nan,nan,nan,nan,nan,-0.0018243314698338509,-0.00358485896140337
L24_F249,22,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.0018243314698338509,-0.00358485896140337
L24_F249,23,u,-0.002830224111676216,0.031194349750876427,0.9989660978317261,nan,nan,nan,nan,nan,nan,-0.0007994695333763957,-0.002525468124076724
L24_F249,23,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.0007994695333763957,-0.002525468124076724
L24_F249,24,u,-0.0022547852713614702,0.02959376573562622,0.9988287091255188,nan,nan,nan,nan,nan,nan,0.04956267401576042,0.04796414449810982
L24_F249,24,delta,-0.0023888356518000364,0.08174009621143341,0.9999520182609558,nan,nan,nan,nan,nan,nan,0.04956267401576042,0.04796414449810982
L24_F249,25,u,-0.002602892927825451,0.02456171251833439,0.999019980430603,nan,nan,nan,nan,nan,nan,0.03573793172836304,0.03401758894324303
L24_F249,25,delta,0.015049660578370094,0.2394450157880783,0.9996581673622131,nan,nan,nan,nan,nan,nan,0.03573793172836304,0.03401758894324303
L24_F52031,10,u,0.003657837398350239,0.018307583406567574,0.9991874694824219,nan,nan,nan,nan,nan,nan,-0.01046158466488123,-0.010959122329950333
L24_F52031,10,delta,0.0,0.0,1.0000001192092896,nan,nan,nan,nan,nan,nan,-0.01046158466488123,-0.010959122329950333
L24_F52031,11,u,0.003770661074668169,0.019442306831479073,0.999154269695282,nan,nan,nan,nan,nan,nan,-0.00020299293100833893,0.00036420952528715134
L24_F52031,11,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.00020299293100833893,0.00036420952528715134
L24_F52031,12,u,0.0043297260999679565,0.021198540925979614,0.9990811944007874,nan,nan,nan,nan,nan,nan,0.015576401725411415,0.016143204644322395
L24_F52031,12,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.015576401725411415,0.016143204644322395
L24_F52031,13,u,0.00509633356705308,0.02239067107439041,0.9990811347961426,nan,nan,nan,nan,nan,nan,0.018374793231487274,0.018864085897803307
L24_F52031,13,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.018374793231487274,0.018864085897803307
L24_F52031,14,u,0.0060490877367556095,0.025258803740143776,0.9989908933639526,nan,nan,nan,nan,nan,nan,0.009576584212481976,0.009747697040438652
L24_F52031,14,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.009576584212481976,0.009747697040438652
L24_F52031,15,u,0.005702713970094919,0.027088353410363197,0.9989520311355591,nan,nan,nan,nan,nan,nan,-0.0013419613242149353,-0.0010159295052289963
L24_F52031,15,delta,0.0,0.0,0.9999999403953552,nan,nan,nan,nan,nan,nan,-0.0013419613242149353,-0.0010159295052289963
L24_F52031,16,u,0.006726037710905075,0.029931118711829185,0.9989942908287048,nan,nan,nan,nan,nan,nan,-0.018441542983055115,-0.01809685118496418
L24_F52031,16,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.018441542983055115,-0.01809685118496418
L24_F52031,17,u,0.005786221474409103,0.030818428844213486,0.9990395903587341,nan,nan,nan,nan,nan,nan,-0.010606715455651283,-0.01056466344743967
L24_F52031,17,delta,0.0,0.0,0.9999999403953552,nan,nan,nan,nan,nan,nan,-0.010606715455651283,-0.01056466344743967
L24_F52031,18,u,0.004864915274083614,0.030989162623882294,0.9990915060043335,nan,nan,nan,nan,nan,nan,-0.004359998740255833,-0.005006132647395134
L24_F52031,18,delta,0.0,0.0,1.0000001192092896,nan,nan,nan,nan,nan,nan,-0.004359998740255833,-0.005006132647395134
L24_F52031,19,u,0.004630129784345627,0.0297121312469244,0.999081015586853,nan,nan,nan,nan,nan,nan,0.010079462081193924,0.009234311990439892
L24_F52031,19,delta,0.0,0.0,0.9999998807907104,nan,nan,nan,nan,nan,nan,0.010079462081193924,0.009234311990439892
L24_F52031,20,u,0.005818321369588375,0.030620098114013672,0.9990663528442383,nan,nan,nan,nan,nan,nan,0.0063935830257833,0.005374504253268242
L24_F52031,20,delta,0.0,0.0,0.9999997615814209,nan,nan,nan,nan,nan,nan,0.0063935830257833,0.005374504253268242
L24_F52031,21,u,0.006247475743293762,0.032056987285614014,0.999042272567749,nan,nan,nan,nan,nan,nan,0.004598756320774555,0.003635033033788204
L24_F52031,21,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.004598756320774555,0.003635033033788204
L24_F52031,22,u,0.0049375491216778755,0.03312620893120766,0.9990349411964417,nan,nan,nan,nan,nan,nan,-0.0018243314698338509,-0.0024515679106116295
L24_F52031,22,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.0018243314698338509,-0.0024515679106116295
L24_F52031,23,u,0.002359236590564251,0.030745647847652435,0.9990107417106628,nan,nan,nan,nan,nan,nan,-0.0007994695333763957,-0.0012606539530679584
L24_F52031,23,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.0007994695333763957,-0.0012606539530679584
L24_F52031,24,u,0.003659751731902361,0.02852836810052395,0.9989320635795593,nan,nan,nan,nan,nan,nan,0.04956267401576042,0.04755032807588577
L24_F52031,24,delta,-0.0010638735257089138,0.18375615775585175,0.9997571706771851,nan,nan,nan,nan,nan,nan,0.04956267401576042,0.04755032807588577
L24_F52031,25,u,0.006402432918548584,0.02067309431731701,0.9993274211883545,nan,nan,nan,nan,nan,nan,0.03573793172836304,0.033497292548418045
L24_F52031,25,delta,-0.014358336105942726,0.2684521973133087,0.9995675086975098,nan,nan,nan,nan,nan,nan,0.03573793172836304,0.033497292548418045
L24_F88968,10,u,-0.0006093081901781261,0.020875276997685432,0.9989237189292908,nan,nan,nan,nan,nan,nan,-0.01046158466488123,-0.010437088087201118
L24_F88968,10,delta,0.0,0.0,1.0000001192092896,nan,nan,nan,nan,nan,nan,-0.01046158466488123,-0.010437088087201118
L24_F88968,11,u,-0.0018636537715792656,0.022520938888192177,0.9988380670547485,nan,nan,nan,nan,nan,nan,-0.00020299293100833893,-0.00011474359780550003
L24_F88968,11,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,-0.00020299293100833893,-0.00011474359780550003
L24_F88968,12,u,-0.0027101649902760983,0.02507021091878414,0.9986782670021057,nan,nan,nan,nan,nan,nan,0.015576401725411415,0.01716023124754429
L24_F88968,12,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.015576401725411415,0.01716023124754429
L24_F88968,13,u,-0.005042217671871185,0.026587093248963356,0.9986535310745239,nan,nan,nan,nan,nan,nan,0.018374793231487274,0.020708689466118813
L24_F88968,13,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.018374793231487274,0.020708689466118813
L24_F88968,14,u,-0.005848168395459652,0.029763387516140938,0.9985385537147522,nan,nan,nan,nan,nan,nan,0.009576584212481976,0.012151808477938175
L24_F88968,14,delta,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.009576584212481976,0.012151808477938175
