axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
wres,25,-0.14780,0.52322,0.96234,0.09240,-0.24020,2.06110,-1.53789,0.71649
wres,26,-0.30133,0.71545,0.92159,2.00887,-2.31020,2.86095,-2.14550,0.40257
wres,27,-0.20328,0.60435,0.94782,3.40368,-3.60696,5.33253,-4.72818,0.42211
wres,28,-0.13978,0.50993,0.96442,0.33104,-0.47082,8.56686,-8.05693,0.56399
wres,29,-0.17255,0.56154,0.95589,1.64251,-1.81506,10.11811,-9.55657,0.43569
wres,30,-0.12598,0.48589,0.96799,2.74094,-2.86692,12.97372,-12.48783,0.52834
wres,31,-0.13673,0.50475,0.96521,-0.04367,-0.09307,15.17945,-14.67470,0.54776
wres,32,-0.14957,0.52609,0.96188,1.71082,-1.86039,22.87885,-22.35276,0.37199
wres,33,-0.11935,0.47378,0.96970,2.58859,-2.70795,9.81970,-9.34592,0.48878
wres,34,-0.10143,0.43884,0.97431,-1.56950,1.46806,10.92986,-10.49103,0.60905
wres,35,-0.06641,0.35835,0.98326,1.40026,-1.46667,1.65230,-1.29395,0.81809
