experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
ablation_zero,24,95435,20,20.0,0.576171875,0.40625,0.42225460352175265,-0.368359375,-0.28125,0.19890539132340085,4.432421875,4.0640625,0.0,0
ablation_zero,24,99099,20,20.0,0.576171875,0.40625,0.42225460352175265,-0.368359375,-0.28125,0.19890539132340085,4.432421875,4.0640625,0.0,0
ablation_zero,25,70833,20,20.0,0.507421875,0.4375,0.3322063199445519,-0.262109375,-0.2734375,0.17749429770333047,4.432421875,4.1703125,0.05,1
ablation_zero,25,152169,20,20.0,0.507421875,0.4375,0.3322063199445519,-0.262109375,-0.2734375,0.17749429770333047,4.432421875,4.1703125,0.05,1
ablation_zero,25,160856,20,20.0,0.507421875,0.4375,0.3322063199445519,-0.262109375,-0.2734375,0.17749429770333047,4.432421875,4.1703125,0.05,1
patching,10,0,20,20.0,0.698828125,0.53125,0.598961476798578,-0.575390625,-0.3828125,0.2804040609645453,4.432421875,3.85703125,0.1,2
patching,10,1,20,20.0,0.698828125,0.53125,0.598961476798578,-0.575390625,-0.3828125,0.2804040609645453,4.432421875,3.85703125,0.1,2
patching,10,2,20,20.0,0.698828125,0.53125,0.598961476798578,-0.575390625,-0.3828125,0.2804040609645453,4.432421875,3.85703125,0.1,2
patching,10,3,20,20.0,0.698828125,0.53125,0.598961476798578,-0.575390625,-0.3828125,0.2804040609645453,4.432421875,3.85703125,0.1,2
patching,10,4,20,20.0,0.698828125,0.53125,0.598961476798578,-0.575390625,-0.3828125,0.2804040609645453,4.432421875,3.85703125,0.1,2
patching,11,0,20,20.0,0.670703125,0.375,0.7605239026127399,-0.476953125,-0.25,0.344983163050684,4.432421875,3.95546875,0.05,1
patching,11,1,20,20.0,0.670703125,0.375,0.7605239026127399,-0.476953125,-0.25,0.344983163050684,4.432421875,3.95546875,0.05,1
patching,11,2,20,20.0,0.670703125,0.375,0.7605239026127399,-0.476953125,-0.25,0.344983163050684,4.432421875,3.95546875,0.05,1
patching,11,3,20,20.0,0.670703125,0.375,0.7605239026127399,-0.476953125,-0.25,0.344983163050684,4.432421875,3.95546875,0.05,1
patching,11,4,20,20.0,0.670703125,0.375,0.7605239026127399,-0.476953125,-0.25,0.344983163050684,4.432421875,3.95546875,0.05,1
patching,12,0,20,20.0,0.45078125,0.375,0.3853517422497713,-0.22109375,-0.234375,0.21270296255228316,4.432421875,4.211328125,0.05,1
patching,12,1,20,20.0,0.45078125,0.375,0.3853517422497713,-0.22109375,-0.234375,0.21270296255228316,4.432421875,4.211328125,0.05,1
patching,12,2,20,20.0,0.45078125,0.375,0.3853517422497713,-0.22109375,-0.234375,0.21270296255228316,4.432421875,4.211328125,0.05,1
patching,12,3,20,20.0,0.45078125,0.375,0.3853517422497713,-0.22109375,-0.234375,0.21270296255228316,4.432421875,4.211328125,0.05,1
patching,12,4,20,20.0,0.45078125,0.375,0.3853517422497713,-0.22109375,-0.234375,0.21270296255228316,4.432421875,4.211328125,0.05,1
patching,13,103662,20,20.0,0.5296875,0.375,0.4584714641833172,-0.2796875,-0.25390625,0.12325313193586873,4.432421875,4.152734375,0.0,0
patching,14,57525,20,20.0,0.4578125,0.40625,0.3970394396175802,-0.3953125,-0.34375,0.16096700575149353,4.432421875,4.037109375,0.0,0
patching,14,133634,20,20.0,0.4578125,0.40625,0.3970394396175802,-0.3953125,-0.34375,0.16096700575149353,4.432421875,4.037109375,0.0,0
patching,15,90154,20,20.0,0.319921875,0.21875,0.24422128601740822,-0.036328125,-0.125,0.09945383628944077,4.432421875,4.39609375,0.0,0
patching,15,127839,20,20.0,0.319921875,0.21875,0.24422128601740822,-0.036328125,-0.125,0.09945383628944077,4.432421875,4.39609375,0.0,0
patching,16,37067,20,20.0,0.29453125,0.203125,0.2714045669091527,-0.02734375,-0.0078125,0.09264726176467689,4.432421875,4.405078125,0.0,0
patching,17,74524,20,20.0,0.453125,0.375,0.26963402645750073,-0.340625,-0.3515625,0.17712483586624658,4.432421875,4.091796875,0.05,1
patching,17,111317,20,20.0,0.453125,0.375,0.26963402645750073,-0.340625,-0.3515625,0.17712483586624658,4.432421875,4.091796875,0.05,1
patching,17,119316,20,20.0,0.453125,0.375,0.26963402645750073,-0.340625,-0.3515625,0.17712483586624658,4.432421875,4.091796875,0.05,1
patching,18,11566,20,20.0,0.458984375,0.25,0.48347802001410556,-0.227734375,-0.171875,0.14772435980596368,4.432421875,4.2046875,0.0,0
patching,19,5841,20,20.0,0.51171875,0.40625,0.36105602975170736,-0.38125,-0.3515625,0.14891308743530945,4.432421875,4.051171875,0.0,0
patching,19,82271,20,20.0,0.51171875,0.40625,0.36105602975170736,-0.38125,-0.3515625,0.14891308743530945,4.432421875,4.051171875,0.0,0
patching,20,0,20,20.0,0.275390625,0.15625,0.24562991480535548,-0.045703125,-0.109375,0.07995536702654606,4.432421875,4.38671875,0.0,0
patching,20,1,20,20.0,0.275390625,0.15625,0.24562991480535548,-0.045703125,-0.109375,0.07995536702654606,4.432421875,4.38671875,0.0,0
patching,20,2,20,20.0,0.275390625,0.15625,0.24562991480535548,-0.045703125,-0.109375,0.07995536702654606,4.432421875,4.38671875,0.0,0
patching,20,3,20,20.0,0.275390625,0.15625,0.24562991480535548,-0.045703125,-0.109375,0.07995536702654606,4.432421875,4.38671875,0.0,0
patching,20,4,20,20.0,0.275390625,0.15625,0.24562991480535548,-0.045703125,-0.109375,0.07995536702654606,4.432421875,4.38671875,0.0,0
patching,21,10625,20,20.0,0.3234375,0.2890625,0.2539318686468354,-0.1890625,-0.1171875,0.10853422042226613,4.432421875,4.243359375,0.0,0
patching,22,37362,20,20.0,0.394921875,0.3125,0.34777727417436954,-0.054296875,-0.0625,0.14913941590875401,4.432421875,4.378125,0.0,0
patching,23,51949,20,20.0,1.351953125,1.0859375,0.8822300091308967,-1.245703125,-1.0859375,0.31501460164763734,4.432421875,3.18671875,0.0,0
patching,23,98762,20,20.0,1.351953125,1.0859375,0.8822300091308967,-1.245703125,-1.0859375,0.31501460164763734,4.432421875,3.18671875,0.0,0
patching,24,95435,20,20.0,0.703515625,0.625,0.4323183143802746,-0.473828125,-0.4765625,0.2286185828476493,4.432421875,3.95859375,0.0,0
patching,24,99099,20,20.0,0.703515625,0.625,0.4323183143802746,-0.473828125,-0.4765625,0.2286185828476493,4.432421875,3.95859375,0.0,0
patching,25,15948,20,20.0,0.451171875,0.375,0.30765022731401503,-0.237109375,-0.328125,0.14671274698086842,4.432421875,4.1953125,0.0,0
patching,25,70833,20,20.0,0.451171875,0.375,0.30765022731401503,-0.237109375,-0.328125,0.14671274698086842,4.432421875,4.1953125,0.0,0
patching,25,152169,20,20.0,0.451171875,0.375,0.30765022731401503,-0.237109375,-0.328125,0.14671274698086842,4.432421875,4.1953125,0.0,0
patching,25,160856,20,20.0,0.451171875,0.375,0.30765022731401503,-0.237109375,-0.328125,0.14671274698086842,4.432421875,4.1953125,0.0,0
patching,25,162883,20,20.0,0.451171875,0.375,0.30765022731401503,-0.237109375,-0.328125,0.14671274698086842,4.432421875,4.1953125,0.0,0
steering,13,103662,20,20.0,0.59140625,0.5625,0.4786515901759448,-0.32265625,-0.2109375,0.1609910703257967,4.432421875,4.109765625,0.0,0
steering,14,57525,20,20.0,0.598046875,0.46875,0.399676985569593,-0.435546875,-0.375,0.17376074402624603,4.432421875,3.996875,0.0,0
steering,14,133634,20,20.0,0.598046875,0.46875,0.399676985569593,-0.435546875,-0.375,0.17376074402624603,4.432421875,3.996875,0.0,0
steering,15,90154,20,20.0,0.607421875,0.4921875,0.4742134662195884,-0.366015625,-0.3125,0.16007300274677613,4.432421875,4.06640625,0.0,0
steering,15,127839,20,20.0,0.607421875,0.4921875,0.4742134662195884,-0.366015625,-0.3125,0.16007300274677613,4.432421875,4.06640625,0.0,0
steering,16,37067,20,20.0,0.39140625,0.28125,0.30383653095228436,-0.10546875,-0.16015625,0.11653958856436297,4.432421875,4.326953125,0.0,0
steering,17,74524,20,20.0,0.422265625,0.375,0.3120934341286813,-0.210546875,-0.15625,0.17174138827549545,4.432421875,4.221875,0.05,1
steering,17,111317,20,20.0,0.422265625,0.375,0.3120934341286813,-0.210546875,-0.15625,0.17174138827549545,4.432421875,4.221875,0.05,1
steering,17,119316,20,20.0,0.422265625,0.375,0.3120934341286813,-0.210546875,-0.15625,0.17174138827549545,4.432421875,4.221875,0.05,1
steering,18,11566,20,20.0,0.35234375,0.2421875,0.4653515788086155,-0.20390625,-0.0703125,0.12213383878792376,4.432421875,4.228515625,0.0,0
steering,19,5841,20,20.0,0.773828125,0.5234375,0.6473465726052263,-0.293359375,-0.3125,0.18116538911903618,4.432421875,4.1390625,0.0,0
