experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
steering,4,16,16.0,0.8203125,0.3125,1.231503780952377,-0.484375,-0.03125,0.20507812448730467,4.0,3.515625,0.0625,1
steering,5,16,16.0,0.759765625,0.5625,0.5984701361858,0.255859375,0.21875,0.14471726162910994,5.25,5.505859375,0.0,0
steering,6,16,16.0,0.66796875,0.3125,0.9907695740980005,-0.49609375,-0.125,2.137499931600002,0.3125,-0.18359375,0.375,6
steering,7,16,16.0,1.1640625,0.34375,1.9379535759403526,-0.79296875,-0.078125,0.18908629410909839,6.15625,5.36328125,0.0625,1
steering,8,16,16.0,0.72265625,0.3125,1.301235140405069,-0.55078125,-0.15625,0.17788461494674554,4.0625,3.51171875,0.0625,1
steering,9,16,16.0,0.78125,0.1875,1.4769055487741929,-0.546875,-0.09375,0.21186440620511343,3.6875,3.140625,0.125,2
steering,10,16,16.0,1.23828125,0.25,2.5474884230600536,-1.01953125,-0.21875,0.29136029343209346,4.25,3.23046875,0.125,2
steering,11,16,16.0,0.6484375,0.4375,0.7565254319364728,-0.140625,0.125,0.2530487795002974,2.5625,2.421875,0.0625,1
steering,12,16,16.0,1.04296875,0.6875,1.1200629516348624,-0.27734375,-0.09375,0.28771551644768134,3.625,3.34765625,0.0,0
steering,13,16,16.0,0.86328125,0.1875,1.6735097148283902,-0.71875,-0.09375,0.2907894727047091,2.96875,2.25,0.125,2
steering,14,16,16.0,0.89453125,0.359375,1.449671074402167,-0.2421875,0.046875,0.19083333292622218,4.6875,4.4453125,0.0625,1
steering,15,16,16.0,0.953125,0.328125,1.8490918379031367,-0.9140625,-0.328125,0.2033333328995555,4.6875,3.7734375,0.125,2
steering,16,16,16.0,0.625,0.1875,1.0540101991916397,-0.3671875,-0.03125,0.18518518463648834,3.375,3.0078125,0.0625,1
steering,17,16,16.0,0.89453125,0.359375,1.449671074402167,-0.2421875,0.046875,0.19083333292622218,4.6875,4.4453125,0.0625,1
steering,18,16,16.0,0.75,0.4375,0.6704320746105952,-0.15625,0.15625,0.17391304307498423,4.3125,4.15625,0.0,0
steering,19,16,16.0,0.671875,0.375,0.7175261319283083,-0.15625,-0.1875,0.3583333314222222,1.875,1.71875,0.0625,1
