experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
patching,15,126720,17,17.0,0.47610294117647056,0.3125,0.44242890547189484,-0.18198529411764705,-0.09375,0.39912820147657846,3.5386029411764706,3.3566176470588234,0.058823529411764705,1
patching,15,127839,15,15.0,0.6270833333333333,0.3125,0.6192218018456329,-0.49375,-0.3125,0.4609012085241062,3.747916666666667,3.254166666666667,0.06666666666666667,1
patching,15,135551,15,15.0,0.5708333333333333,0.25,0.6525690416857566,-0.2625,-0.0625,0.45296790848760116,3.525,3.2625,0.06666666666666667,1
patching,15,144842,13,13.0,0.375,0.25,0.3583545294118661,-0.22115384615384615,-0.09375,0.11907913532587809,3.829326923076923,3.608173076923077,0.0,0
patching,16,33604,20,20.0,0.221875,0.125,0.22094760780496547,-0.025,-0.03125,0.08080869041599303,3.71875,3.69375,0.0,0
patching,17,44675,20,20.0,0.253125,0.1875,0.2756011670684173,0.08125,0.03125,0.07466093822326833,3.71875,3.8,0.0,0
patching,17,65581,20,20.0,0.253125,0.1875,0.2756011670684173,0.08125,0.03125,0.07466093822326833,3.71875,3.8,0.0,0
patching,17,111317,20,20.0,0.253125,0.1875,0.2756011670684173,0.08125,0.03125,0.07466093822326833,3.71875,3.8,0.0,0
patching,17,151157,20,20.0,0.253125,0.1875,0.2756011670684173,0.08125,0.03125,0.07466093822326833,3.71875,3.8,0.0,0
patching,18,109919,20,20.0,1.0578125,0.6875,1.192047861640123,0.7609375,0.6875,0.34124716067415933,3.71875,4.4796875,0.05,1
patching,18,152973,20,20.0,1.0578125,0.6875,1.192047861640123,0.7609375,0.6875,0.34124716067415933,3.71875,4.4796875,0.05,1
patching,19,11545,20,20.0,0.303125,0.234375,0.2891080600653272,0.003125,-0.09375,0.11501966832252794,3.71875,3.721875,0.0,0
patching,19,44984,20,20.0,0.303125,0.234375,0.2891080600653272,0.003125,-0.09375,0.11501966832252794,3.71875,3.721875,0.0,0
patching,19,68247,19,19.0,0.2993421052631579,0.21875,0.29652131517123215,0.023026315789473683,-0.0625,0.11613912456236496,3.7039473684210527,3.726973684210526,0.0,0
patching,19,103010,19,19.0,0.30098684210526316,0.21875,0.296867786154275,-0.014802631578947368,-0.125,0.11721368596177212,3.6677631578947367,3.6529605263157894,0.0,0
patching,19,135661,2,2.0,0.359375,0.359375,0.02209708691207961,-0.015625,-0.015625,0.0835416664712569,4.34375,4.328125,0.0,0
patching,19,141119,20,20.0,0.303125,0.234375,0.2891080600653272,0.003125,-0.09375,0.11501966832252794,3.71875,3.721875,0.0,0
patching,20,26284,20,20.0,0.4046875,0.34375,0.38879175080423334,0.1265625,0.015625,0.12776973610720038,3.71875,3.8453125,0.0,0
patching,20,58760,13,13.0,0.5096153846153846,0.375,0.4289310795379483,0.1778846153846154,0.03125,0.15822771838065602,3.7572115384615383,3.9350961538461537,0.0,0
patching,20,68236,15,15.0,0.23541666666666666,0.15625,0.18293042848762658,0.014583333333333334,0.0,0.0953352060448371,3.591666666666667,3.60625,0.0,0
patching,20,78322,12,12.0,0.5026041666666666,0.40625,0.46512964295321785,0.2109375,0.046875,0.13531675122224418,3.8359375,4.046875,0.0,0
patching,20,99485,20,20.0,0.4046875,0.34375,0.38879175080423334,0.1265625,0.015625,0.12776973610720038,3.71875,3.8453125,0.0,0
patching,20,146302,20,20.0,0.4046875,0.34375,0.38879175080423334,0.1265625,0.015625,0.12776973610720038,3.71875,3.8453125,0.0,0
